"agg_day_period","agg_time_period","month","geography","bounds","xlat","xlon","activity_index_total"
1,11,"2020-08",30223132033331204,"-79.81430053710938, 43.3351671567243, -79.81292724609375, 43.336166014032734",43.33567,-79.81361,0
1,5,"2020-08",30223132033212112,"-79.86099243164062, 43.34715236003301, -79.859619140625, 43.34815102017831",43.34765,-79.86031,0
1,5,"2020-08",30223132033221332,"-79.87197875976562, 43.33416828298583, -79.87060546875, 43.3351671567243",43.33467,-79.87129,0
1,5,"2020-08",30223132033031224,"-79.85824584960938, 43.36512572875843, -79.85687255859375, 43.36612409315009",43.36562,-79.85756,0
1,7,"2020-08",30223132031023232,"-79.87747192382812, 43.4220062741493, -79.8760986328125, 43.42300370191847",43.4225,-79.87679,0.07041
1,8,"2020-08",30223132031221112,"-79.87335205078125, 43.40305202432616, -79.87197875976562, 43.4040497643144",43.40355,-79.87267,0.040719
1,8,"2020-08",30223132031221132,"-79.87197875976562, 43.401056495052906, -79.87060546875, 43.40205426790565",43.40156,-79.87129,0.088857
1,8,"2020-08",30223132031210212,"-79.86648559570312, 43.41502381964653, -79.8651123046875, 43.416021362445115",43.41552,-79.8658,0.125909
0,0,"2020-08",30223132102322112,"-79.75112915039062, 43.45890015705447, -79.749755859375, 43.45989697678555",43.4594,-79.75044,0.026433
0,4,"2020-08",30223132102030004,"-79.78134155273438, 43.498760127435226, -79.77996826171875, 43.49975628978044",43.49926,-79.78065,0.033927
0,9,"2020-08",30223132102210328,"-79.77447509765625, 43.477836921692386, -79.77310180664062, 43.47883342917124",43.47834,-79.77379,0.017752
1,10,"2020-08",30223132103211120,"-79.67697143554688, 43.48182285299989, -79.67559814453125, 43.48281929474003",43.48232,-79.67628,0.026691
1,10,"2020-08",30223132102323304,"-79.7442626953125, 43.45491271379027, -79.74288940429688, 43.45590959925725",43.45541,-79.74358,0.036179
1,5,"2020-08",30223132102030004,"-79.78134155273438, 43.498760127435226, -79.77996826171875, 43.49975628978044",43.49926,-79.78065,0.019099
1,8,"2020-08",30223132103211124,"-79.67697143554688, 43.48082639482503, -79.67559814453125, 43.48182285299989",43.48132,-79.67628,0.070719
1,9,"2020-08",30223132103232020,"-79.69482421875, 43.457903320889386, -79.69345092773438, 43.45890015705447",43.4584,-79.69414,0.040959
1,5,"2020-08",30223132120011320,"-79.7662353515625, 43.44494295526125, -79.76486206054688, 43.4459400050658",43.44544,-79.76555,0
0,5,"2020-08",30223132211121104,"-79.8321533203125, 43.30719248161191, -79.83078002929688, 43.308191798948954",43.30769,-79.83147,0
0,5,"2020-08",30223132211110132,"-79.81704711914062, 43.322180516592645, -79.815673828125, 43.323179587489065",43.32268,-79.81636,0
0,8,"2020-08",30223132210110312,"-79.90493774414062, 43.31918320532586, -79.903564453125, 43.32018232551101",43.31968,-79.90425,0.016998
0,9,"2020-08",30223132211002000,"-79.892578125, 43.31618574619347, -79.89120483398438, 43.317184915667056",43.31669,-79.89189,0
1,0,"2020-08",30223132211110112,"-79.81704711914062, 43.32417864195585, -79.815673828125, 43.32517767999294",43.32468,-79.81636,0.039508
1,1,"2020-08",30223132211110112,"-79.81842041015625, 43.32417864195585, -79.81704711914062, 43.32517767999294",43.32468,-79.81773,0.079492
1,10,"2020-08",30223132210301104,"-79.91867065429688, 43.29120116988416, -79.91729736328125, 43.292200750082785",43.2917,-79.91798,0.055487
1,10,"2020-08",30223132211113012,"-79.81155395507812, 43.315186560290485, -79.8101806640625, 43.31618574619347",43.31569,-79.81087,0.083958
1,2,"2020-08",30223132211113124,"-79.80880737304688, 43.31318813919641, -79.80743408203125, 43.314187357958126",43.31369,-79.80812,0.025065
1,5,"2020-08",30223132210111328,"-79.89532470703125, 43.31818406871119, -79.89395141601562, 43.31918320532586",43.31868,-79.89464,0.024261
1,9,"2020-08",30223132210301112,"-79.91729736328125, 43.29120116988416, -79.91592407226562, 43.292200750082785",43.2917,-79.91661,0
1,10,"2020-08",30223132300002032,"-79.80194091796875, 43.314187357958126, -79.80056762695312, 43.315186560290485",43.31469,-79.80125,0.042621
1,5,"2020-08",30223132300000212,"-79.80056762695312, 43.31918320532586, -79.7991943359375, 43.32018232551101",43.31968,-79.79988,0.035379
0,2,"2020-08",30223132003213020,"-80.03402709960938, 43.47385072743125, -80.03265380859375, 43.47484730064833",43.47435,-80.03334,0
0,5,"2020-08",30223132003212224,"-80.04501342773438, 43.468867614829236, -80.04364013671875, 43.46986427021842",43.46937,-80.04433,0
0,7,"2020-08",30223132003220128,"-80.06011962890625, 43.46587755005585, -80.05874633789062, 43.466874254747935",43.46638,-80.05943,0.011302
0,8,"2020-08",30223132003231120,"-80.02853393554688, 43.46587755005585, -80.02716064453125, 43.466874254747935",43.46638,-80.02785,0.031195
0,8,"2020-08",30223132003230100,"-80.03952026367188, 43.467870943005735, -80.03814697265625, 43.468867614829236",43.46837,-80.03883,0.047572
0,9,"2020-08",30223132003112120,"-79.9969482421875, 43.50573291871012, -79.99557495117188, 43.50672896600785",43.50623,-79.99626,0
0,10,"2020-08",30223132211110312,"-79.81704711914062, 43.31918320532586, -79.815673828125, 43.32018232551101",43.31968,-79.81636,0
0,5,"2020-08",30223132210113024,"-79.90219116210938, 43.31318813919641, -79.90081787109375, 43.314187357958126",43.31369,-79.9015,0.022447
0,7,"2020-08",30223132210111324,"-79.89669799804688, 43.317184915667056, -79.89532470703125, 43.31818406871119",43.31768,-79.89601,0.010113
0,7,"2020-08",30223132210110332,"-79.90493774414062, 43.31818406871119, -79.903564453125, 43.31918320532586",43.31868,-79.90425,0.039802
1,0,"2020-08",30223132300020300,"-79.7991943359375, 43.304194431026296, -79.79782104492188, 43.305193797650546",43.30469,-79.79851,0
1,3,"2020-08",30223132300020032,"-79.80194091796875, 43.305193797650546, -79.80056762695312, 43.30619314784576",43.30569,-79.80125,0.09182
1,6,"2020-08",30223132300020212,"-79.80056762695312, 43.304194431026296, -79.7991943359375, 43.305193797650546",43.30469,-79.79988,0.074633
1,4,"2020-08",30223132003230004,"-80.04501342773438, 43.466874254747935, -80.04364013671875, 43.467870943005735",43.46737,-80.04433,0.055385
1,4,"2020-08",30223132003220312,"-80.06011962890625, 43.463884091369046, -80.05874633789062, 43.46488082892955",43.46438,-80.05943,0.065357
1,5,"2020-08",30223132001211012,"-80.03265380859375, 43.54655738051152, -80.03128051757812, 43.54755275393054",43.54706,-80.03197,0.03079
