"agg_day_period","agg_time_period","month","geography","bounds","xlat","xlon","activity_index_total"
0,5,"2020-08",30223132003212312,"-80.03814697265625, 43.471857531693665, -80.03677368164062, 43.47285413777969",43.47236,-80.03746,0.023678
0,5,"2020-08",30223132003113012,"-79.98733520507812, 43.5077249968701, -79.9859619140625, 43.508721011296856",43.50822,-79.98665,0.012125
0,5,"2020-08",30223132003230100,"-80.03952026367188, 43.467870943005735, -80.03814697265625, 43.468867614829236",43.46837,-80.03883,0.0089
0,9,"2020-08",30223132003133332,"-79.98184204101562, 43.485808521351814, -79.98046875, 43.48680489735276",43.48631,-79.98116,0
1,10,"2020-08",30223132003301024,"-80.013427734375, 43.48082639482503, -80.01205444335938, 43.48182285299989",43.48132,-80.01274,0.025815
1,10,"2020-08",30223132003213012,"-80.03128051757812, 43.47484730064833, -80.0299072265625, 43.475843857430895",43.47535,-80.03059,0.053419
1,7,"2020-08",30223132002313304,"-80.07247924804688, 43.47086090917324, -80.07110595703125, 43.471857531693665",43.47136,-80.07179,0.05396
0,4,"2020-08",30223132012120000,"-79.93515014648438, 43.49975628978044, -79.93377685546875, 43.5007524356904",43.50025,-79.93446,0.057032
0,4,"2020-08",30223132013001020,"-79.88021850585938, 43.513700836896966, -79.87884521484375, 43.51469675271006",43.5142,-79.87953,0.004551
0,5,"2020-08",30223132012011032,"-79.94476318359375, 43.513700836896966, -79.94338989257812, 43.51469675271006",43.5142,-79.94408,0.029752
0,5,"2020-08",30223132012212328,"-79.95025634765625, 43.46986427021842, -79.94888305664062, 43.47086090917324",43.47036,-79.94957,0.02173
0,5,"2020-08",30223132012000332,"-79.97222900390625, 43.508721011296856, -79.97085571289062, 43.50971700928806",43.50922,-79.97154,0
0,6,"2020-08",30223132012120132,"-79.92691040039062, 43.49776394865477, -79.925537109375, 43.498760127435226",43.49826,-79.92622,0.075961
0,7,"2020-08",30223132012011232,"-79.94338989257812, 43.508721011296856, -79.9420166015625, 43.50971700928806",43.50922,-79.9427,0
