"agg_day_period","agg_time_period","month","geography","bounds","xlat","xlon","activity_index_total"
0,6,"2020-08",30223132102033320,"-79.76486206054688, 43.485808521351814, -79.76348876953125, 43.48680489735276",43.48631,-79.76418,0.020706
0,8,"2020-08",30223132103123012,"-79.65911865234375, 43.49079023700749, -79.65774536132812, 43.491786530833764",43.49129,-79.65843,0.038019
1,4,"2020-08",30223132102221112,"-79.78546142578125, 43.466874254747935, -79.78408813476562, 43.467870943005735",43.46737,-79.78477,0.009463
1,4,"2020-08",30223132102210324,"-79.77584838867188, 43.47684039777892, -79.77447509765625, 43.477836921692386",43.47734,-79.77516,0.011272
0,7,"2020-08",30223132120010232,"-79.77996826171875, 43.44494295526125, -79.77859497070312, 43.4459400050658",43.44544,-79.77928,0.028743
1,5,"2020-08",30223132120012032,"-79.77996826171875, 43.44195170724617, -79.77859497070312, 43.4429488063514",43.44245,-79.77928,0.01081
0,4,"2020-08",30223132003300132,"-80.01480102539062, 43.48082639482503, -80.013427734375, 43.48182285299989",43.48132,-80.01411,0.018996
0,9,"2020-08",30223132003111120,"-79.9859619140625, 43.51270490464819, -79.98458862304688, 43.513700836896966",43.5132,-79.98528,0.005468
1,7,"2020-08",30223132003231212,"-80.03265380859375, 43.462887337374355, -80.03128051757812, 43.463884091369046",43.46339,-80.03197,0.039676
1,9,"2020-08",30223132003300232,"-80.02166748046875, 43.47684039777892, -80.02029418945312, 43.477836921692386",43.47734,-80.02098,0.016511
0,3,"2020-08",30223132012302004,"-79.93515014648438, 43.47484730064833, -79.93377685546875, 43.475843857430895",43.47535,-79.93446,0.013534
0,3,"2020-08",30223132012012024,"-79.95712280273438, 43.50473685497695, -79.95574951171875, 43.50573291871012",43.50523,-79.95644,0.005271
0,7,"2020-08",30223132012003032,"-79.96673583984375, 43.50573291871012, -79.96536254882812, 43.50672896600785",43.50623,-79.96605,0.02213
0,7,"2020-08",30223132010222232,"-79.97772216796875, 43.51768440153493, -79.97634887695312, 43.518680251605",43.51818,-79.97704,0.036762
0,9,"2020-08",30223132012020000,"-79.97909545898438, 43.49975628978044, -79.97772216796875, 43.5007524356904",43.50025,-79.97841,0.031561
0,9,"2020-08",30223132012003124,"-79.96261596679688, 43.50473685497695, -79.96124267578125, 43.50573291871012",43.50523,-79.96193,0.003294
1,5,"2020-08",30223132012003032,"-79.96536254882812, 43.50473685497695, -79.9639892578125, 43.50573291871012",43.50523,-79.96468,0.101386
0,7,"2020-08",30223132033213020,"-79.859619140625, 43.34615368345727, -79.85824584960938, 43.34715236003301",43.34665,-79.85893,0
1,10,"2020-08",30223132030003232,"-79.96673583984375, 43.43796314649062, -79.96536254882812, 43.438960311329645",43.43846,-79.96605,0
1,5,"2020-08",30223132033212320,"-79.8651123046875, 43.341160054123065, -79.86373901367188, 43.342158812850535",43.34166,-79.86443,0.043338
0,8,"2020-08",30223132103123000,"-79.661865234375, 43.49079023700749, -79.66049194335938, 43.491786530833764",43.49129,-79.66118,0.045073
0,5,"2020-08",30223132120012232,"-79.77996826171875, 43.43796314649062, -79.77859497070312, 43.438960311329645",43.43846,-79.77928,0.007655
0,8,"2020-08",30223132120012312,"-79.77447509765625, 43.43995745973526, -79.77310180664062, 43.44095459170745",43.44046,-79.77379,0.06268
0,2,"2020-06",30223132003301208,"-80.01068115234375, 43.479829920215465, -80.00930786132812, 43.48082639482503",43.48033,-80.00999,0.006608
0,6,"2020-06",30223132003033232,"-80.03265380859375, 43.485808521351814, -80.03128051757812, 43.48680489735276",43.48631,-80.03197,0.043858
0,8,"2020-06",30223132001333332,"-79.98184204101562, 43.51768440153493, -79.98046875, 43.518680251605",43.51818,-79.98116,0.020549
1,3,"2020-06",30223132003033300,"-80.0299072265625, 43.487801256918836, -80.02853393554688, 43.48879760004999",43.4883,-80.02922,0
1,4,"2020-06",30223132003213112,"-80.02578735351562, 43.475843857430895, -80.0244140625, 43.47684039777892",43.47634,-80.0251,0
1,5,"2020-06",30223132001331232,"-79.98733520507812, 43.52465500687186, -79.9859619140625, 43.52565074189047",43.52515,-79.98665,0
0,10,"2020-06",3.022313201e+16,"-79.97772216796875, 43.57740631331496, -79.97634887695312, 43.5784011771835",43.5779,-79.97704,0
0,7,"2020-06",30223132012000324,"-79.97360229492188, 43.508721011296856, -79.97222900390625, 43.50971700928806",43.50922,-79.97292,0
1,10,"2020-06",30223132012003024,"-79.96810913085938, 43.50473685497695, -79.96673583984375, 43.50573291871012",43.50523,-79.96742,0.056722
1,5,"2020-06",30223132012001212,"-79.96536254882812, 43.51170895596376, -79.9639892578125, 43.51270490464819",43.51221,-79.96468,0.034686
1,5,"2020-06",30223132012003032,"-79.96536254882812, 43.50473685497695, -79.9639892578125, 43.50573291871012",43.50523,-79.96468,0
1,6,"2020-06",30223132010220120,"-79.97360229492188, 43.52963351760428, -79.97222900390625, 43.53062917044241",43.53013,-79.97292,0.07313
1,7,"2020-06",30223132012000320,"-79.9749755859375, 43.508721011296856, -79.97360229492188, 43.50971700928806",43.50922,-79.97429,0.07536
1,8,"2020-06",30223132012003104,"-79.9639892578125, 43.50672896600785, -79.96261596679688, 43.5077249968701",43.50723,-79.9633,0
1,9,"2020-06",30223132010222224,"-79.98046875, 43.51668853502907, -79.97909545898438, 43.51768440153493",43.51719,-79.97978,0.020003
1,9,"2020-06",30223132012002300,"-79.97360229492188, 43.503740774808364, -79.97222900390625, 43.50473685497695",43.50424,-79.97292,0.077615
0,3,"2020-06",30223132033221112,"-79.87197875976562, 43.339162487377436, -79.87060546875, 43.34016127896536",43.33966,-79.87129,0
1,5,"2020-06",30223132033230220,"-79.87060546875, 43.33416828298583, -79.86923217773438, 43.3351671567243",43.33467,-79.86992,0.070117
0,7,"2020-06",30223132102033112,"-79.76211547851562, 43.49079023700749, -79.7607421875, 43.491786530833764",43.49129,-79.76143,0.023729
1,9,"2020-06",30223132103123012,"-79.65911865234375, 43.49079023700749, -79.65774536132812, 43.491786530833764",43.49129,-79.65843,0.021205
0,7,"2020-06",30223132120011232,"-79.76898193359375, 43.4459400050658, -79.76760864257812, 43.44693703843675",43.44644,-79.7683,0.030128
0,10,"2020-08",30223132003202312,"-80.06011962890625, 43.47086090917324, -80.05874633789062, 43.471857531693665",43.47136,-80.05943,0.052817
