"agg_day_period","agg_time_period","month","geography","bounds","xlat","xlon","activity_index_total"
1,8,"2020-08",30223132103123000,"-79.661865234375, 43.49079023700749, -79.66049194335938, 43.491786530833764",43.49129,-79.66118,0
0,11,"2020-08",30223132210132124,"-79.90768432617188, 43.29719840464635, -79.90631103515625, 43.29819788627291",43.2977,-79.907,0.025751
0,4,"2020-08",30223132211002312,"-79.88433837890625, 43.3121889040054, -79.88296508789062, 43.31318813919641",43.31269,-79.88365,0.032726
0,5,"2020-08",30223132211003200,"-79.881591796875, 43.31118965238512, -79.88021850585938, 43.3121889040054",43.31169,-79.88091,0
0,7,"2020-08",30223132210113100,"-79.8980712890625, 43.31618574619347, -79.89669799804688, 43.317184915667056",43.31669,-79.89738,0.018502
0,9,"2020-08",30223132211110112,"-79.81842041015625, 43.32417864195585, -79.81704711914062, 43.32517767999294",43.32468,-79.81773,0
1,5,"2020-08",30223132211002120,"-79.8870849609375, 43.31318813919641, -79.88571166992188, 43.314187357958126",43.31369,-79.8864,0.024875
1,9,"2020-08",30223132211110112,"-79.81842041015625, 43.32417864195585, -79.81704711914062, 43.32517767999294",43.32468,-79.81773,0
1,8,"2020-08",30223132300002208,"-79.80194091796875, 43.3121889040054, -79.80056762695312, 43.31318813919641",43.31269,-79.80125,0.070024
1,9,"2020-08",30223132300020120,"-79.7991943359375, 43.30619314784576, -79.79782104492188, 43.30719248161191",43.30669,-79.79851,0
0,11,"2020-08",30223132002133112,"-80.07110595703125, 43.49079023700749, -80.06973266601562, 43.491786530833764",43.49129,-80.07042,0.005075
0,3,"2020-08",30223132003133324,"-79.98458862304688, 43.484812128916026, -79.98321533203125, 43.485808521351814",43.48531,-79.9839,0.009402
0,3,"2020-08",30223132002313332,"-80.07110595703125, 43.468867614829236, -80.06973266601562, 43.46986427021842",43.46937,-80.07042,0.025905
0,5,"2020-08",30223132003033320,"-80.0299072265625, 43.485808521351814, -80.02853393554688, 43.48680489735276",43.48631,-80.02922,0.038397
0,5,"2020-08",30223132001333112,"-79.98321533203125, 43.52266348752663, -79.98184204101562, 43.523659255417236",43.52316,-79.98253,0.012065
0,7,"2020-08",30223132003220300,"-80.06149291992188, 43.463884091369046, -80.06011962890625, 43.46488082892955",43.46438,-80.06081,0.027591
1,6,"2020-08",30223132003202320,"-80.0628662109375, 43.46986427021842, -80.06149291992188, 43.47086090917324",43.47036,-80.06218,0.064564
1,7,"2020-08",30223132003213128,"-80.02716064453125, 43.47385072743125, -80.02578735351562, 43.47484730064833",43.47435,-80.02647,0.010817
0,4,"2020-08",30223132012002112,"-79.97085571289062, 43.50672896600785, -79.969482421875, 43.5077249968701",43.50723,-79.97017,0.049035
0,4,"2020-08",30223132012302312,"-79.92691040039062, 43.47086090917324, -79.925537109375, 43.471857531693665",43.47136,-79.92622,0.005105
0,5,"2020-08",30223132012102000,"-79.93515014648438, 43.5077249968701, -79.93377685546875, 43.508721011296856",43.50822,-79.93446,0.006915
0,5,"2020-08",30223132011222012,"-79.88983154296875, 43.52266348752663, -79.88845825195312, 43.523659255417236",43.52316,-79.88914,0.005147
0,5,"2020-08",30223132010222224,"-79.98046875, 43.51668853502907, -79.97909545898438, 43.51768440153493",43.51719,-79.97978,0.026341
0,6,"2020-08",30223132010220120,"-79.97360229492188, 43.52963351760428, -79.97222900390625, 43.53062917044241",43.53013,-79.97292,0
0,6,"2020-08",30223132012102212,"-79.93240356445312, 43.503740774808364, -79.9310302734375, 43.50473685497695",43.50424,-79.93172,0.003323
0,7,"2020-08",30223132013000112,"-79.88296508789062, 43.51469675271006, -79.881591796875, 43.51569265208744",43.51519,-79.88228,0.02685
0,7,"2020-08",30223132012233012,"-79.94476318359375, 43.45890015705447, -79.94338989257812, 43.45989697678555",43.4594,-79.94408,0
