"agg_day_period","agg_time_period","month","geography","bounds","xlat","xlon","activity_index_total"
0,3,"2020-07",30223132102201300,"-79.7882080078125, 43.479829920215465, -79.78683471679688, 43.48082639482503",43.48033,-79.78752,0.064145
0,4,"2020-07",30223132102201212,"-79.78958129882812, 43.47883342917124, -79.7882080078125, 43.479829920215465",43.47933,-79.78889,0.043827
0,8,"2020-07",30223132102201232,"-79.78958129882812, 43.47684039777892, -79.7882080078125, 43.477836921692386",43.47734,-79.78889,0
1,5,"2020-07",30223132102033320,"-79.7662353515625, 43.484812128916026, -79.76486206054688, 43.485808521351814",43.48531,-79.76555,0.133082
1,8,"2020-07",30223132102033304,"-79.7662353515625, 43.48680489735276, -79.76486206054688, 43.487801256918836",43.4873,-79.76555,0.036846
0,11,"2020-07",30223132003300224,"-80.02304077148438, 43.47684039777892, -80.02166748046875, 43.477836921692386",43.47734,-80.02235,0
0,5,"2020-07",30223132001331120,"-79.98458862304688, 43.52963351760428, -79.98321533203125, 43.53062917044241",43.53013,-79.9839,0.019817
0,6,"2020-07",30223132003302204,"-80.02304077148438, 43.47086090917324, -80.02166748046875, 43.471857531693665",43.47136,-80.02235,0
0,7,"2020-07",30223132003231012,"-80.03128051757812, 43.467870943005735, -80.0299072265625, 43.468867614829236",43.46837,-80.03059,0.012102
0,9,"2020-07",30223132003111332,"-79.98184204101562, 43.508721011296856, -79.98046875, 43.50971700928806",43.50922,-79.98116,0.002469
0,10,"2020-07",30223132012012024,"-79.95712280273438, 43.50473685497695, -79.95574951171875, 43.50573291871012",43.50523,-79.95644,0.019999
0,5,"2020-07",30223132012003212,"-79.96536254882812, 43.503740774808364, -79.9639892578125, 43.50473685497695",43.50424,-79.96468,0.012506
0,6,"2020-07",3.0223132012e+16,"-79.98046875, 43.51569265208744, -79.97909545898438, 43.51668853502907",43.51619,-79.97978,0.0336
1,4,"2020-07",30223132012303204,"-79.92416381835938, 43.47086090917324, -79.92279052734375, 43.471857531693665",43.47136,-79.92348,0
1,5,"2020-07",30223132012003032,"-79.96673583984375, 43.50473685497695, -79.96536254882812, 43.50573291871012",43.50523,-79.96605,0.003588
