"agg_day_period","agg_time_period","month","geography","bounds","xlat","xlon","activity_index_total"
1,9,"2020-07",30223132121010000,"-79.69482421875, 43.450925007583706, -79.69345092773438, 43.45192195878608",43.45142,-79.69414,0
0,10,"2020-07",30223132210111024,"-79.90219116210938, 43.321181429266616, -79.90081787109375, 43.322180516592645",43.32168,-79.9015,0.018498
0,5,"2020-07",30223132210111212,"-79.89944458007812, 43.32018232551101, -79.8980712890625, 43.321181429266616",43.32068,-79.89876,0.025627
0,6,"2020-07",30223132211113012,"-79.81155395507812, 43.315186560290485, -79.8101806640625, 43.31618574619347",43.31569,-79.81087,0.036654
0,7,"2020-07",30223132210112312,"-79.90493774414062, 43.3121889040054, -79.903564453125, 43.31318813919641",43.31269,-79.90425,0
0,9,"2020-07",30223132210131100,"-79.8980712890625, 43.308191798948954, -79.89669799804688, 43.309191099856854",43.30869,-79.89738,0.024809
0,9,"2020-07",30223132211000332,"-79.88433837890625, 43.317184915667056, -79.88296508789062, 43.31818406871119",43.31768,-79.88365,0.043921
0,9,"2020-07",30223132211002000,"-79.89120483398438, 43.31618574619347, -79.88983154296875, 43.317184915667056",43.31669,-79.89052,0.02004
1,3,"2020-07",30223132211000332,"-79.88433837890625, 43.317184915667056, -79.88296508789062, 43.31818406871119",43.31768,-79.88365,0.015824
1,5,"2020-07",30223132210111220,"-79.903564453125, 43.31818406871119, -79.90219116210938, 43.31918320532586",43.31868,-79.90288,0.056115
1,7,"2020-07",30223132210112320,"-79.9090576171875, 43.309191099856854, -79.90768432617188, 43.310190384335584",43.30969,-79.90837,0.035252
1,9,"2020-07",30223132210301104,"-79.91867065429688, 43.29120116988416, -79.91729736328125, 43.292200750082785",43.2917,-79.91798,0
0,2,"2020-07",30223132300000232,"-79.80194091796875, 43.31818406871119, -79.80056762695312, 43.31918320532586",43.31868,-79.80125,0.022239
0,9,"2020-07",30223132300020324,"-79.79782104492188, 43.30119623257965, -79.79644775390625, 43.302195648490816",43.3017,-79.79713,0.031689
1,7,"2020-07",30223132300002032,"-79.80194091796875, 43.314187357958126, -79.80056762695312, 43.315186560290485",43.31469,-79.80125,0.016659
0,8,"2020-07",30223130232302000,"-79.9365234375, 43.603267431613595, -79.93515014648438, 43.604261868096174",43.60376,-79.93584,0.026211
