"agg_day_period","agg_time_period","month","geography","bounds","xlat","xlon","activity_index_total"
1,5,"2020-08",30223132102033112,"-79.76348876953125, 43.49079023700749, -79.76211547851562, 43.491786530833764",43.49129,-79.7628,0
1,9,"2020-08",30223132102221128,"-79.78546142578125, 43.46587755005585, -79.78408813476562, 43.466874254747935",43.46638,-79.78477,0.014235
1,9,"2020-08",30223132102211020,"-79.771728515625, 43.48182285299989, -79.77035522460938, 43.48281929474003",43.48232,-79.77104,0
0,5,"2020-08",30223132120011320,"-79.7662353515625, 43.4459400050658, -79.76486206054688, 43.44693703843675",43.44644,-79.76555,0.011993
0,10,"2020-08",30223132003212300,"-80.03952026367188, 43.471857531693665, -80.03814697265625, 43.47285413777969",43.47236,-80.03883,0.009798
0,2,"2020-08",30223132003300312,"-80.01480102539062, 43.47883342917124, -80.013427734375, 43.479829920215465",43.47933,-80.01411,0.006581
0,3,"2020-08",30223132001332312,"-79.99282836914062, 43.519676085239226, -79.991455078125, 43.52067190243759",43.52017,-79.99214,0
0,4,"2020-08",30223132001333112,"-79.98321533203125, 43.52266348752663, -79.98184204101562, 43.523659255417236",43.52316,-79.98253,0
0,4,"2020-08",30223132003033232,"-80.03128051757812, 43.485808521351814, -80.0299072265625, 43.48680489735276",43.48631,-80.03059,0
0,7,"2020-08",30223132003230112,"-80.03814697265625, 43.466874254747935, -80.03677368164062, 43.467870943005735",43.46737,-80.03746,0.030694
0,8,"2020-08",30223132003320200,"-80.0244140625, 43.462887337374355, -80.02304077148438, 43.463884091369046",43.46339,-80.02373,0.016666
1,4,"2020-08",30223132003223312,"-80.04776000976562, 43.45491271379027, -80.04638671875, 43.45590959925725",43.45541,-80.04707,0.020425
0,10,"2020-08",30223132012003120,"-79.9639892578125, 43.50473685497695, -79.96261596679688, 43.50573291871012",43.50523,-79.9633,0.066791
0,5,"2020-08",30223132012000132,"-79.97085571289062, 43.51270490464819, -79.969482421875, 43.513700836896966",43.5132,-79.97017,0
0,6,"2020-08",30223132012000320,"-79.9749755859375, 43.50971700928806, -79.97360229492188, 43.51071299084371",43.51022,-79.97429,0
0,7,"2020-08",30223132012312220,"-79.91455078125, 43.46986427021842, -79.91317749023438, 43.47086090917324",43.47036,-79.91386,0
1,5,"2020-08",30223132012303232,"-79.92279052734375, 43.46986427021842, -79.92141723632812, 43.47086090917324",43.47036,-79.9221,0.069339
1,9,"2020-08",30223132012002032,"-79.97772216796875, 43.50573291871012, -79.97634887695312, 43.50672896600785",43.50623,-79.97704,0.011339
0,9,"2020-08",30223132033230132,"-79.86099243164062, 43.33816367935934, -79.859619140625, 43.339162487377436",43.33866,-79.86031,0.031398
0,9,"2020-08",30223132033231020,"-79.85824584960938, 43.33816367935934, -79.85687255859375, 43.339162487377436",43.33866,-79.85756,0.02934
0,3,"2020-08",30223132103123012,"-79.65911865234375, 43.49079023700749, -79.65774536132812, 43.491786530833764",43.49129,-79.65843,0.035929
0,1,"2020-07",30223132003301124,"-80.00656127929688, 43.48082639482503, -80.00518798828125, 43.48182285299989",43.48132,-80.00587,0
0,3,"2020-07",30223132003301120,"-80.0079345703125, 43.48082639482503, -80.00656127929688, 43.48182285299989",43.48132,-80.00725,0.039332
0,8,"2020-07",30223132003230332,"-80.03677368164062, 43.46189056694553, -80.035400390625, 43.462887337374355",43.46239,-80.03609,0.018328
1,10,"2020-07",30223132003213104,"-80.0299072265625, 43.47484730064833, -80.02853393554688, 43.475843857430895",43.47535,-80.02922,0.092447
1,4,"2020-07",30223132003202312,"-80.06011962890625, 43.47086090917324, -80.05874633789062, 43.471857531693665",43.47136,-80.05943,0.053451
1,5,"2020-07",30223132003301208,"-80.01068115234375, 43.479829920215465, -80.00930786132812, 43.48082639482503",43.48033,-80.00999,0
0,5,"2020-07",30223132012002224,"-79.98046875, 43.5007524356904, -79.97909545898438, 43.50174856516505",43.50125,-79.97978,0.019214
0,5,"2020-07",30223132012302004,"-79.93515014648438, 43.47484730064833, -79.93377685546875, 43.475843857430895",43.47535,-79.93446,0.012691
1,4,"2020-07",30223132010202212,"-79.97772216796875, 43.534611617432816, -79.97634887695312, 43.53560718808973",43.53511,-79.97704,0.12762
1,5,"2020-07",30223132010000320,"-79.9749755859375, 43.57243174740974, -79.97360229492188, 43.573426693465684",43.57293,-79.97429,0.071652
1,5,"2020-07",30223132012312224,"-79.91317749023438, 43.468867614829236, -79.91180419921875, 43.46986427021842",43.46937,-79.91249,0
1,7,"2020-07",30223132010220124,"-79.97360229492188, 43.52863784832999, -79.97222900390625, 43.52963351760428",43.52914,-79.97292,0.001419
1,7,"2020-07",30223132012211204,"-79.94613647460938, 43.47883342917124, -79.94476318359375, 43.479829920215465",43.47933,-79.94545,0
0,9,"2020-07",30223132033223112,"-79.87335205078125, 43.33217048621886, -79.87197875976562, 43.33316939281733",43.33267,-79.87267,0
1,9,"2020-07",30223132102221132,"-79.78546142578125, 43.46488082892955, -79.78408813476562, 43.46587755005585",43.46538,-79.78477,0.093027
1,5,"2020-07",30223132120011200,"-79.771728515625, 43.44693703843675, -79.77035522460938, 43.447934055374034",43.44744,-79.77104,0.192853
0,3,"2020-06",30223132003213024,"-80.035400390625, 43.47285413777969, -80.03402709960938, 43.47385072743125",43.47335,-80.03471,0.046065
0,6,"2020-06",30223132003111004,"-79.99008178710938, 43.51469675271006, -79.98870849609375, 43.51569265208744",43.51519,-79.9894,0.04083
0,8,"2020-06",30223132003113132,"-79.98184204101562, 43.50473685497695, -79.98046875, 43.50573291871012",43.50523,-79.98116,0.013728
1,10,"2020-06",30223132003213032,"-80.03128051757812, 43.47385072743125, -80.0299072265625, 43.47484730064833",43.47435,-80.03059,0.070463
1,11,"2020-06",30223132003300224,"-80.02304077148438, 43.47684039777892, -80.02166748046875, 43.477836921692386",43.47734,-80.02235,0.054827
1,5,"2020-06",30223132003033204,"-80.03402709960938, 43.48680489735276, -80.03265380859375, 43.487801256918836",43.4873,-80.03334,0.073381
1,6,"2020-06",30223132003213024,"-80.035400390625, 43.47285413777969, -80.03402709960938, 43.47385072743125",43.47335,-80.03471,0.017284
1,9,"2020-06",30223132003232000,"-80.04638671875, 43.45989697678555, -80.04501342773438, 43.460893780082586",43.4604,-80.0457,0
0,10,"2020-06",3.0223132012e+16,"-79.97772216796875, 43.513700836896966, -79.97634887695312, 43.51469675271006",43.5142,-79.97704,0.022263
0,4,"2020-06",30223132012312212,"-79.91180419921875, 43.47086090917324, -79.91043090820312, 43.471857531693665",43.47136,-79.91112,0
0,6,"2020-06",30223132012211132,"-79.93789672851562, 43.48182285299989, -79.9365234375, 43.48281929474003",43.48232,-79.93721,0.007652
0,6,"2020-06",30223132012321100,"-79.9200439453125, 43.467870943005735, -79.91867065429688, 43.468867614829236",43.46837,-79.91936,0.03299
0,6,"2020-06",30223132012001324,"-79.96261596679688, 43.508721011296856, -79.96124267578125, 43.50971700928806",43.50922,-79.96193,0.034491
0,8,"2020-06",30223132012001224,"-79.969482421875, 43.508721011296856, -79.96810913085938, 43.50971700928806",43.50922,-79.9688,0.021265
0,8,"2020-06",30223132010220120,"-79.97360229492188, 43.52963351760428, -79.97222900390625, 43.53062917044241",43.53013,-79.97292,0.021021
1,4,"2020-06",30223132012223212,"-79.96536254882812, 43.45491271379027, -79.9639892578125, 43.45590959925725",43.45541,-79.96468,0.075124
1,5,"2020-06",30223132012000224,"-79.97909545898438, 43.508721011296856, -79.97772216796875, 43.50971700928806",43.50922,-79.97841,0.096852
