"agg_day_period","agg_time_period","month","geography","bounds","xlat","xlon","activity_index_total"
0,0,"2020-08",30223132003202304,"-80.06149291992188, 43.47086090917324, -80.06011962890625, 43.471857531693665",43.47136,-80.06081,0.019018
0,0,"2020-08",30223132003213032,"-80.03265380859375, 43.47385072743125, -80.03128051757812, 43.47484730064833",43.47435,-80.03197,0
0,2,"2020-08",30223132002313328,"-80.07110595703125, 43.46986427021842, -80.06973266601562, 43.47086090917324",43.47036,-80.07042,0.014601
0,4,"2020-08",30223132003003020,"-80.057373046875, 43.50573291871012, -80.05599975585938, 43.50672896600785",43.50623,-80.05669,0
0,7,"2020-08",30223132003233032,"-80.03128051757812, 43.457903320889386, -80.0299072265625, 43.45890015705447",43.4584,-80.03059,0.025923
0,8,"2020-08",30223132002310232,"-80.08758544921875, 43.47684039777892, -80.08621215820312, 43.477836921692386",43.47734,-80.0869,0.011985
0,8,"2020-08",30223132001331332,"-79.98184204101562, 43.52565074189047, -79.98046875, 43.52664646047306",43.52615,-79.98116,0.013257
0,9,"2020-08",30223132003113328,"-79.98321533203125, 43.50174856516505, -79.98184204101562, 43.50274467820439",43.50225,-79.98253,0.025699
1,5,"2020-08",30223132001333304,"-79.98458862304688, 43.518680251605, -79.98321533203125, 43.519676085239226",43.51918,-79.9839,0.048934
1,8,"2020-08",30223132003200224,"-80.068359375, 43.47684039777892, -80.06698608398438, 43.477836921692386",43.47734,-80.06767,0
1,9,"2020-08",30223132003213112,"-80.02716064453125, 43.47484730064833, -80.02578735351562, 43.475843857430895",43.47535,-80.02647,0.090456
1,9,"2020-08",30223132002313304,"-80.07247924804688, 43.47086090917324, -80.07110595703125, 43.471857531693665",43.47136,-80.07179,0
0,3,"2020-08",30223132012010320,"-79.95162963867188, 43.50971700928806, -79.95025634765625, 43.51071299084371",43.51022,-79.95094,0.005393
0,4,"2020-08",30223132011222320,"-79.88571166992188, 43.51768440153493, -79.88433837890625, 43.518680251605",43.51818,-79.88503,0.022725
0,5,"2020-08",30223132010322320,"-79.9310302734375, 43.51768440153493, -79.92965698242188, 43.518680251605",43.51818,-79.93034,0.026182
0,5,"2020-08",30223132012010328,"-79.95025634765625, 43.50971700928806, -79.94888305664062, 43.51071299084371",43.51022,-79.94957,0.015909
0,6,"2020-08",30223132010030104,"-79.95162963867188, 43.56248138279793, -79.95025634765625, 43.56347649322658",43.56298,-79.95094,0
0,7,"2020-08",30223132012330020,"-79.91317749023438, 43.46587755005585, -79.91180419921875, 43.466874254747935",43.46638,-79.91249,0
0,7,"2020-08",30223132012031032,"-79.94476318359375, 43.49776394865477, -79.94338989257812, 43.498760127435226",43.49826,-79.94408,0
0,7,"2020-08",30223132012000212,"-79.97772216796875, 43.51071299084371, -79.97634887695312, 43.51170895596376",43.51121,-79.97704,0.027809
0,8,"2020-08",30223132012001232,"-79.96673583984375, 43.508721011296856, -79.96536254882812, 43.50971700928806",43.50922,-79.96605,0.022708
0,8,"2020-08",30223132012013104,"-79.9420166015625, 43.50672896600785, -79.94064331054688, 43.5077249968701",43.50723,-79.94133,0.031955
0,9,"2020-08",30223132012120008,"-79.93377685546875, 43.49975628978044, -79.93240356445312, 43.5007524356904",43.50025,-79.93309,0
1,4,"2020-08",30223132012102320,"-79.9310302734375, 43.50174856516505, -79.92965698242188, 43.50274467820439",43.50225,-79.93034,0.116852
1,5,"2020-08",30223132012031104,"-79.9420166015625, 43.498760127435226, -79.94064331054688, 43.49975628978044",43.49926,-79.94133,0
