"agg_day_period","agg_time_period","month","geography","bounds","xlat","xlon","activity_index_total"
0,5,"2020-08",30223132003202212,"-80.06423950195312, 43.47086090917324, -80.0628662109375, 43.471857531693665",43.47136,-80.06355,0.101067
0,9,"2020-08",30223132300002232,"-79.80056762695312, 43.309191099856854, -79.7991943359375, 43.310190384335584",43.30969,-79.79988,0.062696
0,4,"2020-08",30223132300002208,"-79.80194091796875, 43.3121889040054, -79.80056762695312, 43.31318813919641",43.31269,-79.80125,0.223457
0,11,"2020-07",30223132003202300,"-80.0628662109375, 43.471857531693665, -80.06149291992188, 43.47285413777969",43.47236,-80.06218,0.00633
0,11,"2020-07",30223132002313332,"-80.06973266601562, 43.46986427021842, -80.068359375, 43.47086090917324",43.47036,-80.06905,0.001315
0,2,"2020-07",30223132003300232,"-80.02029418945312, 43.47684039777892, -80.0189208984375, 43.477836921692386",43.47734,-80.01961,0.0062
0,5,"2020-07",30223132003033200,"-80.035400390625, 43.487801256918836, -80.03402709960938, 43.48879760004999",43.4883,-80.03471,0.017968
1,10,"2020-07",30223132003301200,"-80.013427734375, 43.479829920215465, -80.01205444335938, 43.48082639482503",43.48033,-80.01274,0
1,4,"2020-07",30223132003301124,"-80.00656127929688, 43.48082639482503, -80.00518798828125, 43.48182285299989",43.48132,-80.00587,0
1,5,"2020-07",30223132003111112,"-79.98184204101562, 43.51469675271006, -79.98046875, 43.51569265208744",43.51519,-79.98116,0
1,5,"2020-07",30223132003300128,"-80.01617431640625, 43.48182285299989, -80.01480102539062, 43.48281929474003",43.48232,-80.01549,0.014316
1,5,"2020-07",30223132003213112,"-80.02716064453125, 43.47484730064833, -80.02578735351562, 43.475843857430895",43.47535,-80.02647,0.015249
0,10,"2020-07",30223132012102320,"-79.9310302734375, 43.50174856516505, -79.92965698242188, 43.50274467820439",43.50225,-79.93034,0.035526
0,11,"2020-07",30223132010322212,"-79.93240356445312, 43.518680251605, -79.9310302734375, 43.519676085239226",43.51918,-79.93172,0
0,4,"2020-07",30223132012330000,"-79.91455078125, 43.466874254747935, -79.91317749023438, 43.467870943005735",43.46737,-79.91386,0.025332
0,5,"2020-07",30223132012013200,"-79.947509765625, 43.503740774808364, -79.94613647460938, 43.50473685497695",43.50424,-79.94682,0
0,6,"2020-07",30223132012011032,"-79.94338989257812, 43.513700836896966, -79.9420166015625, 43.51469675271006",43.5142,-79.9427,0.027251
0,7,"2020-07",30223132012212300,"-79.95162963867188, 43.471857531693665, -79.95025634765625, 43.47285413777969",43.47236,-79.95094,0
0,7,"2020-07",30223132010211224,"-79.94613647460938, 43.54058479482875, -79.94476318359375, 43.54158026686725",43.54108,-79.94545,0.000216
1,3,"2020-07",30223132012121204,"-79.92416381835938, 43.49477531370229, -79.92279052734375, 43.49577154178827",43.49527,-79.92348,0
1,3,"2020-07",3.022313201e+16,"-79.97634887695312, 43.5784011771835, -79.9749755859375, 43.579396024614475",43.5789,-79.97566,0.039035
1,4,"2020-07",30223132012122112,"-79.92828369140625, 43.491786530833764, -79.92691040039062, 43.49278280822501",43.49228,-79.9276,0.118764
1,4,"2020-07",3.022313201e+16,"-79.97772216796875, 43.57740631331496, -79.97634887695312, 43.5784011771835",43.5779,-79.97704,0.053005
1,5,"2020-07",30223132012003008,"-79.96673583984375, 43.5077249968701, -79.96536254882812, 43.508721011296856",43.50822,-79.96605,0.07797
1,5,"2020-07",30223132012213232,"-79.94338989257812, 43.468867614829236, -79.9420166015625, 43.46986427021842",43.46937,-79.9427,0.056856
1,6,"2020-07",30223132012120128,"-79.92828369140625, 43.49776394865477, -79.92691040039062, 43.498760127435226",43.49826,-79.9276,0.076517
1,6,"2020-07",30223132012000232,"-79.97634887695312, 43.50971700928806, -79.9749755859375, 43.51071299084371",43.51022,-79.97566,0.089491
1,6,"2020-07",30223132010030104,"-79.95162963867188, 43.56248138279793, -79.95025634765625, 43.56347649322658",43.56298,-79.95094,0.059063
1,7,"2020-07",30223132012012024,"-79.95712280273438, 43.50473685497695, -79.95574951171875, 43.50573291871012",43.50523,-79.95644,0.091161
1,7,"2020-07",30223132012120032,"-79.93240356445312, 43.49776394865477, -79.9310302734375, 43.498760127435226",43.49826,-79.93172,0.016553
1,7,"2020-07",30223132012303232,"-79.92141723632812, 43.468867614829236, -79.9200439453125, 43.46986427021842",43.46937,-79.92073,0.090398
1,8,"2020-07",30223132012031012,"-79.94476318359375, 43.498760127435226, -79.94338989257812, 43.49975628978044",43.49926,-79.94408,0.037197
1,9,"2020-07",30223132012012000,"-79.95849609375, 43.5077249968701, -79.95712280273438, 43.508721011296856",43.50822,-79.95781,0
1,9,"2020-07",30223132012013128,"-79.93927001953125, 43.50573291871012, -79.93789672851562, 43.50672896600785",43.50623,-79.93858,0.040617
0,3,"2020-07",30223132030222024,"-79.98046875, 43.39307372067443, -79.97909545898438, 43.39407162498388",43.39357,-79.97978,0.032997
0,5,"2020-07",30223132031021232,"-79.87884521484375, 43.429985236179775, -79.87747192382812, 43.430982532484876",43.43048,-79.87816,0.054372
0,6,"2020-07",30223132033323112,"-79.82803344726562, 43.33217048621886, -79.82666015625, 43.33316939281733",43.33267,-79.82735,0.013823
0,7,"2020-07",30223132033212132,"-79.86099243164062, 43.34615368345727, -79.859619140625, 43.34715236003301",43.34665,-79.86031,0
1,10,"2020-07",30223132033332332,"-79.81842041015625, 43.32517767999294, -79.81704711914062, 43.32617670160033",43.32568,-79.81773,0
1,5,"2020-07",30223132031210320,"-79.8651123046875, 43.41402626041529, -79.86373901367188, 43.41502381964653",43.41453,-79.86443,0.072756
1,5,"2020-07",30223132033223000,"-79.88021850585938, 43.33217048621886, -79.87884521484375, 43.33316939281733",43.33267,-79.87953,0
1,7,"2020-07",30223132031022224,"-79.89120483398438, 43.421008829947255, -79.88983154296875, 43.4220062741493",43.42151,-79.89052,0.039549
0,4,"2020-07",30223132103223232,"-79.70169067382812, 43.4539158118894, -79.7003173828125, 43.45491271379027",43.45441,-79.701,0.007092
0,4,"2020-07",30223132102210324,"-79.77584838867188, 43.47684039777892, -79.77447509765625, 43.477836921692386",43.47734,-79.77516,0.033021
0,8,"2020-07",30223132103211104,"-79.67697143554688, 43.48281929474003, -79.67559814453125, 43.48381572004543",43.48332,-79.67628,0.021521
0,5,"2020-07",30223132121100220,"-79.67147827148438, 43.4459400050658, -79.67010498046875, 43.44693703843675",43.44644,-79.67079,0.036255
0,7,"2020-07",30223132121001012,"-79.70169067382812, 43.450925007583706, -79.7003173828125, 43.45192195878608",43.45142,-79.701,0.072756
1,7,"2020-07",30223132121010000,"-79.69482421875, 43.450925007583706, -79.69345092773438, 43.45192195878608",43.45142,-79.69414,0.019946
0,2,"2020-07",30223132210130032,"-79.91043090820312, 43.305193797650546, -79.9090576171875, 43.30619314784576",43.30569,-79.90974,0.049466
0,6,"2020-07",30223132211002008,"-79.88983154296875, 43.31618574619347, -79.88845825195312, 43.317184915667056",43.31669,-79.88914,0.048045
0,6,"2020-07",30223132210301112,"-79.91729736328125, 43.292200750082785, -79.91592407226562, 43.29320031385282",43.2927,-79.91661,0.03035
0,7,"2020-07",30223132210111212,"-79.90081787109375, 43.31918320532586, -79.89944458007812, 43.32018232551101",43.31968,-79.90013,0.0125
0,7,"2020-07",30223132210112112,"-79.90631103515625, 43.315186560290485, -79.90493774414062, 43.31618574619347",43.31569,-79.90562,0.019542
1,4,"2020-07",30223132210113220,"-79.90219116210938, 43.310190384335584, -79.90081787109375, 43.31118965238512",43.31069,-79.9015,0.030231
1,4,"2020-07",3.0223132211e+16,"-79.88983154296875, 43.323179587489065, -79.88845825195312, 43.32417864195585",43.32368,-79.88914,0.03417
1,4,"2020-07",30223132210113000,"-79.903564453125, 43.315186560290485, -79.90219116210938, 43.31618574619347",43.31569,-79.90288,0
1,5,"2020-07",30223132210113024,"-79.90219116210938, 43.31318813919641, -79.90081787109375, 43.314187357958126",43.31369,-79.9015,0.074384
1,6,"2020-07",30223132210111320,"-79.89669799804688, 43.31818406871119, -79.89532470703125, 43.31918320532586",43.31868,-79.89601,0.168366
1,7,"2020-07",30223132211003220,"-79.88021850585938, 43.310190384335584, -79.87884521484375, 43.31118965238512",43.31069,-79.87953,0.001232
0,0,"2020-07",30223132300002232,"-79.80194091796875, 43.309191099856854, -79.80056762695312, 43.310190384335584",43.30969,-79.80125,0.014407
0,3,"2020-07",30223132300020300,"-79.7991943359375, 43.304194431026296, -79.79782104492188, 43.305193797650546",43.30469,-79.79851,0.019621
0,7,"2020-07",30223132300020324,"-79.79782104492188, 43.30119623257965, -79.79644775390625, 43.302195648490816",43.3017,-79.79713,0
1,5,"2020-07",30223132300002212,"-79.80056762695312, 43.31118965238512, -79.7991943359375, 43.3121889040054",43.31169,-79.79988,0.01869
1,9,"2020-07",30223132300002032,"-79.80056762695312, 43.31318813919641, -79.7991943359375, 43.314187357958126",43.31369,-79.79988,0
0,6,"2020-06",30223132003213012,"-80.03265380859375, 43.47484730064833, -80.03128051757812, 43.475843857430895",43.47535,-80.03197,0.05931
0,7,"2020-06",30223132003111112,"-79.98184204101562, 43.51469675271006, -79.98046875, 43.51569265208744",43.51519,-79.98116,0.033132
0,9,"2020-06",30223132002313232,"-80.07522583007812, 43.46986427021842, -80.0738525390625, 43.47086090917324",43.47036,-80.07454,0.03535
1,3,"2020-06",30223132001331320,"-79.9859619140625, 43.52465500687186, -79.98458862304688, 43.52565074189047",43.52515,-79.98528,0.109996
1,4,"2020-06",30223132003202304,"-80.06149291992188, 43.47086090917324, -80.06011962890625, 43.471857531693665",43.47136,-80.06081,0.071733
1,4,"2020-06",30223132003111320,"-79.98458862304688, 43.50971700928806, -79.98321533203125, 43.51071299084371",43.51022,-79.9839,0.072598
1,5,"2020-06",30223132003213220,"-80.03402709960938, 43.46986427021842, -80.03265380859375, 43.47086090917324",43.47036,-80.03334,0.037292
1,5,"2020-06",30223132001331320,"-79.9859619140625, 43.52465500687186, -79.98458862304688, 43.52565074189047",43.52515,-79.98528,0.148664
1,6,"2020-06",30223132003213020,"-80.03402709960938, 43.47385072743125, -80.03265380859375, 43.47484730064833",43.47435,-80.03334,0.051169
1,8,"2020-06",30223132002313332,"-80.06973266601562, 43.46986427021842, -80.068359375, 43.47086090917324",43.47036,-80.06905,0
0,5,"2020-06",30223132012303332,"-79.91592407226562, 43.46986427021842, -79.91455078125, 43.47086090917324",43.47036,-79.91524,0.014171
0,6,"2020-06",30223132012000324,"-79.97360229492188, 43.508721011296856, -79.97222900390625, 43.50971700928806",43.50922,-79.97292,0.009663
0,7,"2020-06",30223132012010328,"-79.95025634765625, 43.50971700928806, -79.94888305664062, 43.51071299084371",43.51022,-79.94957,0
0,7,"2020-06",30223132012211220,"-79.94613647460938, 43.477836921692386, -79.94476318359375, 43.47883342917124",43.47834,-79.94545,0.042452
0,8,"2020-06",30223132011222320,"-79.88571166992188, 43.51768440153493, -79.88433837890625, 43.518680251605",43.51818,-79.88503,0.067152
0,8,"2020-06",30223132012211312,"-79.93927001953125, 43.47883342917124, -79.93789672851562, 43.479829920215465",43.47933,-79.93858,0.037702
0,8,"2020-06",30223132012003128,"-79.96124267578125, 43.50573291871012, -79.95986938476562, 43.50672896600785",43.50623,-79.96056,0.027367
0,8,"2020-06",3.0223132012e+16,"-79.97909545898438, 43.51469675271006, -79.97772216796875, 43.51569265208744",43.51519,-79.97841,0
0,8,"2020-06",30223132013012012,"-79.86785888671875, 43.50672896600785, -79.86648559570312, 43.5077249968701",43.50723,-79.86717,0.060888
0,8,"2020-06",30223132012003112,"-79.95986938476562, 43.50672896600785, -79.95849609375, 43.5077249968701",43.50723,-79.95918,0
0,8,"2020-06",30223132012013012,"-79.94476318359375, 43.50672896600785, -79.94338989257812, 43.5077249968701",43.50723,-79.94408,0.021653
0,8,"2020-06",30223132012213232,"-79.94476318359375, 43.468867614829236, -79.94338989257812, 43.46986427021842",43.46937,-79.94408,0.017579
0,9,"2020-06",30223132011222324,"-79.88571166992188, 43.51668853502907, -79.88433837890625, 43.51768440153493",43.51719,-79.88503,0.043982
