SCIENTIFIC_NAME,FAMILY,SUB_SPECIES,Synonym,AUTHOR,ENGLISH_COMMON_NAME,Growth_form,GBIF_record_number,ROM__record_number,Combined_abund_scaled,S_RANK,COSEWIC_STATUS,G_RANK,EXOTIC_NATIVE,EXOTIC_RANK,Cultivated,Year_first_record_exotic
Acer saccharum,Sapindaceae,Nigrum,,Marsh.,Sugar Maple,Tree,100,25,54,S5,,G5,N,,,NA
Acer spicatum,Sapindaceae,,,Lam.,Mountain Maple,Tree,37,28,43,S5,,G5,N,,,NA
Acer tataricum,Sapindaceae,ginnala,Acer ginnala,(Maximowicz) Wesmael,Amur Maple,Shrub/tree,15,11,17,SNA,,G?,E,SE1,,NA
Acer truncatum,Sapindaceae,,,Bunge,Shandong maple,Tree,NA,1,3,SNA,,GNA,E,SE?,y,1954
Achillea millefolium,Asteraceae,,,L.,Common Yarrow,Herbaceous,59,23,42,SNA,,G5,E,SE5,,1903
Achillea ptarmica,Asteraceae,,,L.,Sneezeweed Yarrow,Herbaceous,NA,4,10,SNA,,GNA,E,SE2,,1972
Acorus americanus,Acoraceae,,,(Raf.) Raf.,American Sweetflag,Herbaceous,NA,NA,NA,S4,,G5,N,,,NA
Acorus calamus,Acoraceae,,,L.,European Sweetflag,Herbaceous,3,2,4,SNA,,G4,E,SE1,,NA
Actaea ludovici,Ranunculaceae,,,Boivin,(Actaea pachypoda X Actaea rubra),Herbaceous,1,NA,1,SNA,,GNA,N,,,NA
Actaea pachypoda,Ranunculaceae,,,Ell.,White Baneberry,Herbaceous,28,8,17,S5,,G5,N,,,NA
Actaea racemosa,Ranunculaceae,,Cimicifuga racemosa,L.,Black Snakeroot,Herbaceous,1,NA,1,S2,,G4,N,,,NA
Actaea rubra,Ranunculaceae,,,(Ait.) Willd.,Red Baneberry,Herbaceous,25,6,14,S5,,G5,N,,,NA
Adiantum pedatum,Pteridaceae,,,L.,Northern Maidenhair Fern,Herbaceous,12,12,18,S5,,G5,N,,,NA
Adlumia fungosa,Papaveraceae,,,"(Aiton) Britton, Sterns & Poggenb.",Climbing Fumitory,Herbaceous,NA,2,5,S4,,G4,N,,,NA
Aegopodium podagraria,Apiaceae,,,L.,Goutweed,Herbaceous,35,5,15,SNA,,GNA,E,SE5,,NA
Aerva javanica,Amaranthaceae,,,(Burm.f.) Juss. ex Schult.,kapok bush,Herbaceous,NA,1,3,SNA,,GNA,E,SE?,y,NA
Aerva lanata,Amaranthaceae,,,(L.) Juss.,mountain knotgrass,Herbaceous,NA,1,3,SNA,,GNA,E,SE?,y,NA
Aesculus flava,Sapindaceae,,,Sol.,Yellow buckeye,Tree,NA,NA,NA,SNA,,G5,E,SE?,Y,NA
Aesculus glabra,Sapindaceae,,,Willd.,Ohio Buckeye,Tree,NA,NA,NA,S1,,G5,N,,,NA
Aesculus hippocastanum,Sapindaceae,,,L.,Horse Chestnut,Tree,33,15,26,SNA,,GNA,E,SE2,,NA
Aesculus x carnea,Sapindaceae,,,Hayne,Horse Chestnut,Tree,NA,NA,NA,SNA,,GNA,E,SE?,,NA
Agalinis paupercula,Orobanchaceae,,,(A.Gray) Britton,smallflower false foxglove,Herbaceous,NA,6,15,SNA,,GNA,E,SE?,y,1889
Agalinis purpurea,Orobanchaceae,,Agalinis paupercula,(L.) Pennell,Purple False Foxglove,Herbaceous,NA,6,15,S4,,G5,N,,,NA
Agalinis tenuifolia,Scrophulariaceae,,,(Vahl) Raf.,Slender-leaved False Foxglove,Herbaceous,2,16,20,S4,,G5,N,,,NA
Agastache foeniculum,Lamiaceae,,,(Pursh) Kuntze,Blue Giant Hyssop,Herbaceous,3,1,2,S4,,G5,N,,,NA
Agastache nepetoides,Lamiaceae,,,(L.) Kuntze,Yellow Giant Hyssop,Herbaceous,NA,2,5,S4,,G5,N,,,NA
Agastache scrophulariifolia,Lamiaceae,,,(Willd.) Kuntze,Purple Giant Hyssop,Herbaceous,NA,NA,NA,S1,,G4,U,,,NA
Ageratina altissima,Asteraceae,altissima,,(L.) R.M.King & H.Rob.,Common White Snakeroot,Herbaceous,24,42,57,S5,,G5,N,,,NA
Agrimonia gryposepala,Rosaceae,,,Wallr.,Hooked Agrimony,Herbaceous,13,14,21,S5,,G5,N,,,NA
Agrimonia pubescens,Rosaceae,,,Wallr.,Soft Agrimony,Herbaceous,2,7,9,S4,,G5,N,,,NA
Agrimonia striata,Rosaceae,,,Michx.,Woodland Agrimony,Herbaceous,1,1,2,S4,,G5,N,,,NA
Agropyron cristatum,Poaceae,,,(L.) Gaertn.,Crested Wheatgrass,Graminoid,3,4,6,SNA,,G5,E,SE2,,NA
Agrostis capillaris,Poaceae,,,L.,Colonial Bentgrass,Graminoid,NA,1,3,SNA,,GNA,E,SE1,,1981
Agrostis gigantea,Poaceae,,,Roth,Redtop,Graminoid,17,20,29,SNA,,G4,E,SE5,,NA
Agrostis hyemalis,Poaceae,,,"(Walter) Britton, Sterns & Poggenb.",Winter Bentgrass,Graminoid,NA,1,3,S1,,G5,N,,,NA
Agrostis perennans,Poaceae,,,(Walt.) Tuckerman,Upland Bentgrass,Graminoid,3,3,5,S4,,G5,N,,,NA
Agrostis scabra,Poaceae,,,Willd.,Rough Bentgrass,Graminoid,1,10,13,S5,,G5,N,,,NA
Agrostis stolonifera,Poaceae,,,L.,Creeping Bentgrass,Graminoid,8,14,19,SNA,,G5,E,SE5,,1939
Ailanthus altissima,Simaroubaceae,,,(P. Mill.) Swingle,Tree-of-heaven,Tree,47,13,27,SNA,,GNA,E,SE5,,NA
Ajuga genevensis,Lamiaceae,,,L.,Geneva Bugleweed,Herbaceous,1,1,2,SNA,,GNA,E,SE1,,1899
Ajuga reptans,Lamiaceae,,,L.,Creeping Bugleweed,Herbaceous,6,7,10,SNA,,GNA,E,SE2,,1952
Alcea rosea,Malvaceae,,,L.,Hollyhock,Herbaceous,NA,2,5,SNA,,GNA,E,SE4,,NA
