SCIENTIFIC_NAME,FAMILY,SUB_SPECIES,Synonym,AUTHOR,ENGLISH_COMMON_NAME,Growth_form,GBIF_record_number,ROM__record_number,Combined_abund_scaled,S_RANK,COSEWIC_STATUS,G_RANK,EXOTIC_NATIVE,EXOTIC_RANK,Cultivated,Year_first_record_exotic
Coptis trifolia,Ranunculaceae,,,(L.) Salisb.,Goldthread,Herbaceous,14,29,39,S5,,G5,N,,,NA
Corallorhiza maculata,Orchidaceae,,,(Raf.) Raf.,Spotted Coralroot,Herbaceous,4,12,16,S5,,G5,N,,,NA
Corallorhiza odontorhiza,Orchidaceae,,,(Willd.) Nutt.,Autumn Coralroot,Herbaceous,1,1,2,S2,,G5,N,,,NA
Corallorhiza striata,Orchidaceae,,,Lindl.,Striped Coralroot,Herbaceous,NA,5,13,S4,,G5,N,,,NA
Corallorhiza trifida,Orchidaceae,,,Chatelain,Early Coralroot,Herbaceous,5,6,9,S5,,G5,N,,,NA
Coreopsis grandiflora,Asteraceae,,,Hogg ex Sweet,Large-flowered Tickseed,Herbaceous,1,2,3,SNA,,G5,E,SE3,,1941
Coreopsis lanceolata,Asteraceae,,,L.,Lance-leaved Tickseed,Herbaceous,3,NA,2,S4,,G5,N,,,NA
Coreopsis tinctoria,Asteraceae,,,Nutt.,Golden Tickseed,Herbaceous,1,2,3,SNA,,G5,E,SE1,,1991
Coreopsis tripteris,Asteraceae,,,L.,Tall Tickseed,Herbaceous,NA,NA,NA,S1,,G5,U,,,NA
Cornus alternifolia,Cornaceae,,,L. f.,Alternate-leaved Dogwood,Shrub/tree,55,24,42,S5,,G5,N,,,NA
Cornus amomum,Cornaceae,,,Mill.,silky dogwood,Shrub,NA,1,3,S?,,G?,U,,U,NA
Cornus canadensis,Cornaceae,,,L.,Bunchberry,Herbaceous,3,13,17,S5,,G5,N,,,NA
Cornus drummondii,Cornaceae,,,C.A. Mey.,Rough-leaved Dogwood,Tree,NA,NA,NA,S4,,G5,N,,,NA
Cornus florida,Cornaceae,,,L.,Eastern Flowering Dogwood,Tree,NA,NA,NA,S2,END,G5,U,,,NA
Cornus foemina,Cornaceae,,,Mill.,stiff dogwood,Shrub,NA,8,20,SNA,,G5,E,SE?,y,NA
Cornus mas,Cornaceae,,,L.,Cornelian cherry,Shrub/tree,NA,NA,NA,SNA,,G5,E,SE?,y,NA
Cornus obliqua,Cornaceae,,Cornus amomum v. obliqua,Raf.,Pale Dogwood,Shrub,NA,NA,NA,S5,,G5,N,,,NA
Cornus racemosa,Cornaceae,,Cornus foemina v. racemosa,Lam.,Gray Dogwood,Shrub,18,NA,9,S5,,G5,N,,,NA
Cornus rugosa,Cornaceae,,,Lam.,Round-leaved Dogwood,Shrub/tree,39,22,36,S5,,G5,N,,,NA
Cornus sericea,Cornaceae,,Cornus stolonifera,L.,Red-osier Dogwood,Shrub,92,42,73,S5,,G5,N,,,NA
Corydalis aurea,Papaveraceae,aurea,,Willd.,Golden Corydalis,Herbaceous,1,1,2,S5,,G5,N,,,NA
Corydalis flavula,Papaveraceae,,,(Raf.) DC.,Yellow Corydalis,Herbaceous,NA,1,3,S1,,G5,N,,,NA
Corydalis solida,Papaveraceae,,,(L.) Sw.,Spring Corydalis,Herbaceous,1,NA,1,SNA,,GNA,E,SE1,,NA
Corylus americana,Betulaceae,,,Walt.,American Hazelnut,Tree,12,12,18,S5,,G5,N,,,NA
Corylus avellana,Betulaceae,,,L.,Common Filbert,Tree,NA,NA,NA,SNA,,GNA,E,SE1,,NA
Corylus colurna,Betulaceae,,,L.,Turkish hazel,Tree,NA,NA,NA,SNA,,GNA,E,,y,NA
Corylus cornuta,Betulaceae,,,Marsh.,Beaked Hazelnut,Tree,28,18,29,S5,,G5,N,,,NA
Cosmos bipinnatus,Asteraceae,,,Cav.,Garden Cosmos,Herbaceous,11,NA,6,SNA,,GNA,E,SE1,,NA
Cotinus coggygria,Anacardiaceae,,,Scop.,European Smoketree,Shrub,2,NA,1,SNA,,GNA,E,SE1,,NA
Cotinus obovatus,Anacardiaceae,,,Raf.,American smoketree,Shrub,NA,NA,NA,SNA,,G5,E,SE?,,NA
Cotoneaster acutifolius,Rosaceae,,,Turcz.,cotoneaster,Shrub,NA,1,3,SNA,,GNA,E,SE?,y,1996
Cotoneaster dammeri,Rosaceae,,,C.K.Schneid,bearberry cotoneaster,Shrub,NA,NA,NA,SNA,,GNA,E,SE?,,NA
Cotoneaster divaricatus,Rosaceae,,,Rehd. & Wilson,Spreading Cotoneaster,Shrub,2,1,2,SNA,,GNA,E,SE1,,1977
Cotoneaster horizontalis,Rosaceae,,,Decne.,cotoneaster,Shrub,NA,1,3,SNA,,GNA,E,SE?,y,1980
Cotoneaster hupehensis,Rosaceae,,,Rehder & E.H.Wilson,cotoneaster,Shrub,NA,1,3,SNA,,GNA,E,SE?,y,NA
Cotoneaster lucidus,Rosaceae,,,Schldl.,Shiny Cotoneaster,Shrub,1,NA,1,SNA,,GNA,E,SE1,,NA
Cotoneaster multiflorus,Rosaceae,,,Bunge,cotoneaster,Shrub,NA,1,3,SNA,,GNA,E,SE?,y,1953
Crataegus brainerdii,Rosaceae,,,Sarg.,Brainerd's Hawthorn,Shrub/tree,NA,1,3,S2,,G5,N,,,NA
Crataegus calpodendron,Rosaceae,,,(Ehrh.) Medik.,Pear Hawthorn,Shrub/tree,3,2,4,S4,,G5,N,,,NA
Crataegus chrysocarpa,Rosaceae,,,Ashe,Fireberry Hawthorn,Shrub/tree,5,4,7,S5,,G5,N,,,NA
Crataegus coccinea,Rosaceae,,Crataegus pedicellata,L.,Scarlet Hawthorn,Shrub/tree,4,2,4,S5,,G5,N,,,NA
Crataegus corusca,Rosaceae,,,Sarg.,Shiningbranch Hawthorn,Shrub/tree,7,2,5,S?,,G?,N,,,NA
Crataegus crus-galli,Rosaceae,,,L.,Cockspur Hawthorn,Shrub/tree,4,3,5,S4,,G5,N,,,NA
Crataegus dodgei,Rosaceae,,,Ashe,Dodge's Hawthorn,Shrub/tree,NA,1,3,S4,,G4,N,,,NA
Crataegus flabellata,Rosaceae,,,(Spach) Kirchn.,Fan-leaved Hawthorn,Shrub/tree,1,1,2,S4,,G4,N,,,NA
Crataegus fluviatilis,Rosaceae,,Crataegus apiomorpha,Sarg.,Fort Sheridan Hawthorn,Shrub/tree,NA,NA,NA,S2,,G3,N,,,NA
Crataegus holmesiana,Rosaceae,,,Ashe,Holmes' Hawthorn,Shrub/tree,8,7,11,S4,,G5,N,,,NA
Crataegus intricata,Rosaceae,,,Lange,Copenhagen Hawthorn,Shrub/tree,4,NA,2,SX,,G5,N,,,NA
Crataegus macracantha,Rosaceae,,,Lodd.,Large-thorned Hawthorn,Shrub/tree,NA,8,20,S5,,G5,N,,,NA
Crataegus macrosperma,Rosaceae,,,Ashe,Big-fruited Hawthorn,Shrub/tree,10,3,7,S5,,G5,N,,,NA
Crataegus magniflora,Rosaceae,,,Sargent,Shining-branch Hawthorn,Shrub/tree,NA,1,3,S3,,G3,N,,,NA
Crataegus mollis,Rosaceae,,,Scheele,Downy Hawthorn,Shrub/tree,1,NA,1,S4,,G5,N,,,NA
Crataegus monogyna,Rosaceae,,,Jacq.,English Hawthorn,Shrub/tree,53,19,36,SNA,,G5,E,SE4,,NA
Crataegus persimilis,Rosaceae,,,Sarg.,Plum-leaved Hawthorn,Shrub/tree,3,6,9,S1,,G5,N,,,NA
Crataegus phaenopyrum,Rosaceae,,,(L. f.) Medik.,Washington Hawthorn,Shrub/tree,6,7,10,SNA,,G4,E,SE1,,1953
Crataegus pringlei,Rosaceae,,,Sarg.,Pringle's Hawthorn,Shrub/tree,5,4,7,S?,,G?,N,,,NA
Crataegus punctata,Rosaceae,,,Jacq.,Dotted Hawthorn,Shrub/tree,49,25,42,S5,,G5,N,,,NA
Crataegus scabrida,Rosaceae,,,Sarg.,Rough Hawthorn,Shrub/tree,3,NA,2,S3,,G5,N,,,NA
Crataegus schuettei,Rosaceae,,,Ashe,Schuette's Hawthorn,Shrub/tree,NA,NA,NA,S4,,G5,N,,,NA
Crataegus submollis,Rosaceae,,,Sarg.,Quebec Hawthorn,Shrub/tree,7,4,7,S5,,G5,N,,,NA
Crataegus succulenta,Rosaceae,,,Schrad. ex Link,Fleshy Hawthorn,Shrub/tree,6,1,3,S5,,G5,N,,,NA
Crataegus viridis,Rosaceae,,,L.,Winterking,Tree,NA,NA,NA,SNA,,GNA,E,SE?,Y,NA
Crataegus x lavallei,Rosaceae,,,hort. Paris.,hybrid cockspurtho,Shrub/tree,NA,1,3,SNA,,GNA,E,SE?,y,NA
Crataegus x media,Rosaceae,,,Sarg.,hybrid crataegus,Shrub/tree,NA,5,13,SNA,,GNA,E,SE?,y,NA
Crataegus x mordenensis ,Rosaceae,,,,Toba,Shrub/tree,NA,NA,NA,SNA,,GNA,E,SE?,Y,NA
Crepis capillaris,Asteraceae,,,(L.) Wallr.,Smooth Hawksbeard,Herbaceous,1,NA,1,SNA,,GNA,E,SE1,,NA
Crepis tectorum,Asteraceae,,,L.,Narrow-leaved Hawksbeard,Herbaceous,3,15,19,SNA,,GNA,E,SE5,,1972
Crocanthemum bicknellii,Asteraceae,,Helianthemum bicknellii,(Fernald) Janchen,Hoary Frostweed,Herbaceous,3,NA,2,S3,,G5,N,,,NA
Crocanthemum canadense,Asteraceae,,Helianthemum canadense,(L.) Britt.,Long-branched Frostweed,Herbaceous,9,13,18,S3,,G5,N,,,NA
Crocus vernus,Liliaceae,,,(L.) Hill,Spring Crocus,Herbaceous,3,NA,2,SNA,,GNA,E,SE1,,NA
Cryptotaenia canadensis,Apiaceae,,,(L.) DC.,Canada Honewort,Herbaceous,18,19,28,S5,,G5,N,,,NA
Cryptotaenia japonica,Apiaceae,,,Hassk.,East Asia wild parsley,Herbaceous,NA,NA,NA,SNA,,G5,E,SE?,,NA
Cucumis melo,Cucurbitaceae,,,L.,Cantaloupe,Vine,NA,NA,NA,SNA,,GNA,E,SE1,y,NA
Cucumis sativus,Cucurbitaceae,,,L.,Garden Cucumber,Vine,1,NA,1,SNA,,GNA,E,SE1,,NA
Cuscuta gronovii,Cuscutaceae,,,Willd. ex J.A. Schultes,Swamp Dodder,Vine,4,NA,2,S5,,G5,N,,,NA
Cyclachaena xanthiifolia,Asteraceae,,Iva xanthiifolia,(Nutt.) Fresen.,False Ragweed,Herbaceous,1,NA,1,SNA,,G5,E,SE1,,NA
Cycloloma atriplicifolium,Chenopodiaceae,,,(Spreng.) Coult.,Winged Pigweed,Herbaceous,NA,NA,NA,S4,,G5,U,,,NA
Cydonia oblonga,Rosaceae,,,P. Mill.,Common Quince,Shrub/tree,1,2,3,SNA,,GNA,E,SE1,,1954
Cymbalaria muralis,Plantaginaceae,,,"P.Gaertn., B.Mey. & Scherb.",Kenilworth Ivy,Herbaceous,NA,3,8,SNA,,GNA,E,SE1,,NA
Cynoglossum officinale,Boraginaceae,,,L.,Common Hound's-tongue,Herbaceous,21,17,26,SNA,,GNA,E,SE5,,NA
Cynoglossum virginianum,Boraginaceae,,,L.,wild comfrey,Herbaceous,NA,1,3,S?,,G?,N,,,NA
Cynosurus cristatus,Poaceae,,,L.,Crested Dogtail Grass,Graminoid,NA,2,5,SNA,,GNA,E,SE1,,1899
Cyperus alternifolius,Cyperaceae,,,L.,umbrella papyrus,Graminoid,NA,1,3,SNA,,GNA,E,SE?,y,1998
Cyperus bipartitus,Cyperaceae,,Pycreus bipartitus,Torr.,Shining Flatsedge,Graminoid,5,14,19,S5,,G5,N,,,NA
Cyperus diandrus,Cyperaceae,,,Torr.,Umbrella Flatsedge,Graminoid,3,NA,2,S4,,G5,N,,,NA
Cyperus eragrostis,Cyperaceae,,,Lam.,tall flatsedge,Graminoid,NA,2,5,SNA,,GNA,E,SE?,,1994
Cyperus erythrorhizos,Cyperaceae,,,Muhl.,Red-rooted Flatsedge,Graminoid,NA,NA,NA,S4,,G5,N,,,NA
Cyperus esculentus,Cyperaceae,,,L.,Perennial Yellow Flatsedge,Graminoid,2,2,3,S5,,G5,N,,,NA
Cyperus fuscus,Cyperaceae,,,L.,Brown Flatsedge,Graminoid,5,6,9,SNA,,GNA,E,SE2,,1976
Cyperus iria,Cyperaceae,,,L.,rice flat sedge,Graminoid,NA,2,5,SNA,,GNA,E,SE?,,1994
Cyperus lupulinus,Cyperaceae,,,(Spreng.) Marcks,Hop Flatsedge,Graminoid,3,13,17,S4,,G5,N,,,NA
Cyperus odoratus,Cyperaceae,,,L.,Rusty Flatsedge,Graminoid,9,30,39,S4,,G5,N,,,NA
Cyperus schweinitzii,Cyperaceae,,,Torr.,Schweinitz's Flatsedge,Graminoid,1,9,12,S3,,G5,N,,,NA
Cyperus strigosus,Cyperaceae,,,L.,Straw-colored Flatsedge,Graminoid,1,NA,1,S5,,G5,N,,,NA
Cyperus textilis,Cyperaceae,,,Thunb.,flat sedge,Graminoid,NA,1,3,SNA,,GNA,E,SE?,,1998
Cypripedium acaule,Orchidaceae,,,Ait.,Pink Lady's-slipper,Herbaceous,3,2,4,S5,,G5,N,,,NA
Cypripedium calceolus,Orchidaceae,,,L.,Lady's slipper orchid,Herbaceous,NA,19,47,SNA,,GNA,E,SE?,U,NA
Cypripedium parviflorum,Orchidaceae,,Cypripedium calceolus ssp. Parviflorum,Salisb.,Yellow Lady's-slipper,Herbaceous,2,NA,1,S5,,G5,N,,,NA
Cypripedium reginae,Orchidaceae,,,Walt.,Showy Lady's-slipper,Herbaceous,3,3,5,S4,,G4,N,,,NA
Cystopteris bulbifera,Dryopteridaceae,,,(L.) Bernh.,Bulblet Fern,Herbaceous,22,19,29,S5,,G5,N,,,NA
Cystopteris tenuis,Dryopteridaceae,,,(Michx.) Desv.,Mackay's Bladder Fern,Herbaceous,3,1,2,S4,,G5,N,,,NA
Dactylis glomerata,Poaceae,,,L.,Orchard Grass,Graminoid,22,10,18,SNA,,GNA,E,SE5,,1927
Dactylorhiza viridis,Orchidaceae,,,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",frog orchid,Herbaceous,NA,4,10,S?,,G?,N,,,NA
Danthonia spicata,Poaceae,,,(L.) Beauv. ex Roemer & J.A. Schultes,Poverty Oatgrass,Graminoid,6,3,6,S5,,G5,N,,,NA
Daphne cneorum,Thymelaeaceae,,,L.,garland flower,Herbaceous,NA,2,5,SNA,,GNA,E,SE?,y,NA
Daphne mezereum,Thymelaeaceae,,,L.,February Daphne,Herbaceous,1,1,2,SNA,,GNA,E,SE2,,1896
Dasiphora fruticosa,Rosaceae,,,(L.) Rydb.,Shrubby Cinquefoil,Shrub,6,5,8,S5,,G5,N,,,NA
Datura innoxia,Solanaceae,,,Mill.,Angel's Trumpet,Herbaceous/shrub,3,NA,2,SNA,,G5,E,SE1,,NA
Datura stramonium,Solanaceae,,,L.,Jimson weed,Herbaceous/shrub,5,11,15,SNA,,GNA,E,SE5,,NA
Daucus carota,Apiaceae,,,L.,Wild Carrot,Herbaceous,142,28,68,SNA,,GNA,E,SE5,,NA
Decodon verticillatus,Lythraceae,,,(L.) Ell.,Swamp Loosestrife,Herbaceous,4,12,16,S5,,G5,N,,,NA
Dennstaedtia punctilobula,Dennstaedtiaceae,,,(Michx.) T. Moore,Eastern Hay-scented Fern,Herbaceous,NA,NA,NA,S4,,G5,N,,,NA
Deparia acrostichoides,Dryopteridaceae,,,(Sw.) M. Kato,Silvery Spleenwort,Herbaceous,5,4,7,S4,,G5,N,,,NA
Deschampsia flexuosa,Poaceae,,Avenella flexuosa,(L.) Drej.,Wavy Hairgrass,Graminoid,NA,4,10,S5,,G5,N,,,NA
Descurainia sophia,Brassicaceae,,,(L.) Prantl,Tansy mustard,Herbaceous,3,6,9,SNA,,GNA,E,SE?,,1903
Desmodium canadense,Fabaceae,,,(L.) DC.,Showy Tick-trefoil,Herbaceous,28,32,46,S4,,G5,N,,,NA
Desmodium glutinosum,Fabaceae,,,(Muhl. ex Willd.) Alph. Wood,pointedleaf ticktrefoil,Herbaceous,22,20,30,S?,,G?,N,,,NA
Desmodium nudiflorum,Fabaceae,,,(L.) DC.,nakedflower ticktrefoil,Herbaceous,NA,1,3,S?,,G?,N,,,NA
Dianthus armeria,Caryophyllaceae,,,L.,Deptford Pink,Herbaceous,12,8,13,SNA,,GNA,E,SE5,,1972
Dianthus barbatus,Caryophyllaceae,,,L.,Sweet William,Herbaceous,2,2,3,SNA,,GNA,E,SE1,,1973
Dianthus deltoides,Caryophyllaceae,,,L.,Maiden Pink,Herbaceous,NA,2,5,SNA,,GNA,E,SE2,,1952
Dicentra canadensis,Papaveraceae,,,(Goldie) Walp.,Squirrel-corn,Herbaceous,2,NA,1,S5,,G5,N,,,NA
Dicentra cucullaria,Papaveraceae,,,(L.) Bernh.,Dutchman's Breeches,Herbaceous,2,NA,1,S5,,G5,N,,,NA
Dichanthelium acuminatum,Poaceae,acuminatum,Panicum acuminatum,(Sw.) Gould & C.A. Clark ,tapered rosette grass ,Graminoid,NA,4,10,S?,,G?,N,,,NA
Dichanthelium columbianum,Poaceae,siccanum,Panicum columbianum,(Scribn.) Freckmann,Columbia Panicgrass,Graminoid,NA,NA,NA,S5,,G5,N,,,NA
Dichanthelium latifolium,Poaceae,,Panicum latifolium,(L.) Gould & C.A. Clark,Broad-leaved Panicgrass,Graminoid,NA,10,25,S4,,G5,N,,,NA
Dichanthelium lindheimeri,Poaceae,,Panicum acuminatum ssp. Lindheimeri,(Nash) Gould,Lindheimer's Panicgrass,Graminoid,NA,NA,NA,S4,,G5,N,,,NA
Dichanthelium linearifolium,Poaceae,,Panicum linearifolium,(Scribn. ex Nash) Gould,Linear-leaved Panicgrass,Graminoid,NA,2,5,S5,,G5,N,,,NA
Dichanthelium oligosanthes,Poaceae,,Panicum oligosanthes,(J.A. Schultes) Gould,Few-flowered Panicgrass,Graminoid,NA,NA,NA,S4,,G5,N,,,NA
Dichanthelium perlongum,Poaceae,,Panicum perlongum,(Nash) Freckmann,Long-stalked Panicgrass,Graminoid,NA,NA,NA,S2,,G?,N,,,NA
Dichanthelium xanthophysum,Poaceae,,,(Gray) Freckmann,Pale Panicgrass,Graminoid,NA,7,18,S4,,G5,N,,,NA
Diervilla lonicera,Caprifoliaceae,,,P. Mill.,Northern Bush-honeysuckle,Shrub,31,23,36,S5,,G5,N,,,NA
Diervilla rivularis,Caprifoliaceae,,,Gattiuger,,Shrub,1,NA,1,S?,,G?,N,,,NA
Diervilla trifida,Caprifoliaceae,,,Moench,,Shrub,NA,NA,NA,S?,,G?,N,,,NA
Digitalis grandiflora,Plantaginaceae,,,P. Mill.,Yellow Foxglove,Herbaceous,1,1,2,SNA,,GNA,E,SE1,,1992
Digitalis lanata,Plantaginaceae,,,Ehrh.,Grecian Foxglove,Herbaceous,3,4,6,SNA,,GNA,E,SE1,,1974
Digitalis purpurea,Plantaginaceae,,,L.,Purple Foxglove,Herbaceous,2,NA,1,SNA,,GNA,E,SE1,,NA
Digitaria ischaemum,Poaceae,,,(Schreb.) Schreb. ex Muhl.,Smooth Crabgrass,Graminoid,2,2,3,SNA,,GNA,E,SE5,,1969
Digitaria sanguinalis,Poaceae,,,(L.) Scop.,Hairy Crabgrass,Graminoid,10,12,17,SNA,,G5,E,SE5,,NA
Diplotaxis muralis,Brassicaceae,,,(L.) DC.,Stinking Wallrocket,Herbaceous,4,3,5,SNA,,GNA,E,SE3,,1974
Diplotaxis tenuifolia,Brassicaceae,,,(L.) DC.,Slim-leaved Wallrocket,Herbaceous,17,25,35,SNA,,GNA,E,SE5,,NA
Dipsacus fullonum,Caprifoliaceae,,,L.,Common Teasel,Herbaceous,NA,4,10,SNA,,GNA,E,SE5,,1895
Dirca palustris,Thymelaeaceae,,,L.,Eastern Leatherwood,Shrub,3,6,9,S4,,G4,N,,,NA
Doellingeria umbellata,Asteraceae,umbellatus,Aster umbellatus,(P. Mill.) Nees,Flat-top White Aster,Herbaceous,8,20,27,S5,,G5,N,,,NA
Draba arabisans,Brassicaceae,,,Michx.,Rock Draba,Herbaceous,1,NA,1,S4,,G4,N,,,NA
Draba verna,Brassicaceae,,Erophila verna,L.,Spring Draba,Herbaceous,4,NA,2,SNA,,GNA,E,SE5,,NA
Dracocephalum parviflorum,Lamiaceae,,,Nutt.,American Dragonhead,Herbaceous,NA,3,8,S4,,G5,N,,,NA
Drosera rotundifolia,Droseraceae,,,L.,Round-leaved Sundew,Herbaceous,NA,4,10,S5,,G5,N,,,NA
Drymocallis arguta,Rosaceae,,Potentilla arguta,(Pursh) Rydb.,Tall Cinquefoil,Herbaceous/shrub,NA,NA,NA,S4,,G5,N,,,NA
Dryopteris carthusiana,Dryopteridaceae,,,(Vill.) H.P. Fuchs,Spinulose Wood Fern,Herbaceous,22,21,31,S5,,G5,N,,,NA
Dryopteris clintoniana,Dryopteridaceae,,,(D.C. Eat.) Dowell,Clinton's Wood Fern,Herbaceous,7,11,16,S4,,G5,N,,,NA
Dryopteris cristata,Dryopteridaceae,,,(L.) Gray,Crested Wood Fern,Herbaceous,7,3,6,S5,,G5,N,,,NA
Dryopteris filix-mas,Dryopteridaceae,,,(L.) Schott,Male Fern,Herbaceous,NA,NA,NA,S4,,G5,N,,,NA
Dryopteris goldiana,Dryopteridaceae,,,(Hook. ex Goldie) Gray,Goldie's Wood Fern,Herbaceous,3,3,5,S4,,G4,N,,,NA
Dryopteris intermedia,Dryopteridaceae,,,(Muhl. ex Willd.) Gray,Evergreen Wood Fern,Herbaceous,17,13,20,S5,,G5,N,,,NA
Dryopteris marginalis,Dryopteridaceae,,,(L.) Gray,Marginal Wood Fern,Herbaceous,19,4,10,S5,,G5,N,,,NA
Dryopteris x benedictii,Dryopteridaceae,,,Wherry,(Dryopteris carthusiana X Dryopteris clintoniana),Herbaceous,NA,NA,NA,SNA,,GNA,N,,,NA
Dryopteris x boottii,Dryopteridaceae,,,(Tuckerman) Underwood,(Dryopteris cristata X Dryopteris intermedia),Herbaceous,NA,NA,NA,SNA,,GNA,N,,,NA
Dryopteris x dowellii,Dryopteridaceae,,,(Farw.) Wherry,(Dryopteris clintoniana X Dryopteris intermedia),Herbaceous,NA,NA,NA,SNA,,GNA,N,,,NA
Dryopteris x triploidea,Dryopteridaceae,,,Wherry,(Dryopteris carthusiana X Dryopteris intermedia),Herbaceous,NA,NA,NA,SNA,,GNA,N,,,NA
Duchesnea indica,Rosaceae,,,(Andrews) Th.Wolf,Mock strawberry,Herbaceous,NA,NA,NA,SNA,,G4,E,SE?,,NA
Dulichium arundinaceum,Cyperaceae,,,(L.) Britt.,Three-way Sedge,Graminoid,7,NA,4,S5,,G5,N,,,NA
Echinacea purpurea,Asteraceae,,,(L.) Moench,Eastern Purple Coneflower,Herbaceous,27,NA,13,SNA,,G4,E,SE1,,NA
Echinochloa crus-galli,Poaceae,,Echinochloa microstachya,(L.) Beauv.,Large Barnyard Grass,Graminoid,17,20,29,SNA,,GNA,E,SE5,,NA
Echinochloa muricata,Poaceae,,,(Beauv.) Fern.,Rough Barnyard Grass,Graminoid,4,16,21,S5,,G5,N,,,NA
Echinocystis lobata,Cucurbitaceae,,,(Michx.) Torr. & Gray,Wild Mock-cucumber,Vine,59,29,49,S5,,G5,N,,,NA
Echinops sphaerocephalus,Asteraceae,,,L.,Great Globe-thistle,Herbaceous,2,3,5,SNA,,GNA,E,SE4,,1953
Echium vulgare,Boraginaceae,,,L.,Common Viper's Bugloss,Herbaceous,41,31,48,SNA,,GNA,E,SE5,,NA
Eichhornia crassipes,Pontederiaceae,,,(Mart.) Solms,Common Water-hyacinth,Herbaceous,NA,NA,NA,SNA,,G5,E,SE1,,NA
Elaeagnus angustifolia,Elaeagnaceae,,,L.,Russian Olive,Shrub/tree,38,10,22,SNA,,GNA,E,SE3,,NA
Elaeagnus commutata,Elaeagnaceae,,,Bernh. ex Rydb.,Wolf-willow,Shrub/tree,3,3,5,S4,,G5,N,,,NA
Elaeagnus umbellata,Elaeagnaceae,,,Thunb.,Autumn Olive,Shrub/tree,8,1,4,SNA,,GNA,E,SE3,,1977
Eleocharis acicularis,Cyperaceae,,,(L.) Roemer & J.A. Schultes,Needle Spikerush,Graminoid,1,6,8,S5,,G5,N,,,NA
Eleocharis elegans,Cyperaceae,,,(Kunth) Roem. & Schult.,elegant spikerush ,Graminoid,NA,1,3,SNA,,GNA,E,SE?,U,1998
Eleocharis elliptica,Cyperaceae,,,Kunth,Elliptic Spikerush,Graminoid,NA,8,20,S5,,G5,N,,,NA
Eleocharis erythropoda,Cyperaceae,,,Steud.,Red-stemmed Spikerush,Graminoid,8,16,22,S5,,G5,N,,,NA
Eleocharis flavescens,Cyperaceae,,,(Poir.) Urb.,Pale Spikerush,Graminoid,NA,1,3,S4,,G5,N,,,NA
Eleocharis flavescens ,Cyperaceae,olivacea,Eleocharis olivacea,(Torr.) Gleason,Bright-green Spikerush,Graminoid,NA,NA,NA,S4,,G?,N,,,NA
Eleocharis intermedia,Cyperaceae,,,J.A. Schultes,Matted Spikerush,Graminoid,2,NA,1,S4,,G5,N,,,NA
Eleocharis obtusa,Cyperaceae,,,(Willd.) J.A. Schultes,Blunt Spikerush,Graminoid,3,1,2,S5,,G5,N,,,NA
Eleocharis palustris,Cyperaceae,,Eleocharis smallii,(L.) Roemer & J.A. Schultes,Creeping Spikerush,Graminoid,1,NA,1,S5,,G5,N,,,NA
Eleocharis quinqueflora,Cyperaceae,,,(Hartmann) O.Schwarz,Few-flowered Spikerush,Graminoid,NA,4,10,S5,,G5,N,,,NA
Eleocharis retroflexa,Cyperaceae,,,(Poir.) Urb.,,Graminoid,NA,1,3,SNA,,GNA,E,SE?,U,1998
Eleusine indica,Poaceae,,,(L.) Gaertn.,India Goosegrass,Graminoid,NA,NA,NA,SNA,,GNA,E,SE3,,NA
Eleutherococcus sieboldianus,Araliaceae,,,(Makino) Koidzumi,Five-leaved Aralia,Shrub,3,NA,2,SNA,,GNA,E,SE1,,NA
Elodea canadensis,Hydrocharitaceae,,,Michx.,Canada Waterweed,Herbaceous,4,5,8,S5,,G5,N,,,NA
Elodea nuttallii,Hydrocharitaceae,,,(Planch.) St. John,Nuttall's Waterweed,Herbaceous,2,2,3,S3,,G5,N,,,NA
Elymus canadensis,Poaceae,,,L.,Canada Wildrye,Graminoid,8,18,24,S5,,G5,N,,,NA
Elymus hystrix,Poaceae,,Hystrix patula,L.,Bottlebrush Grass,Graminoid,13,NA,7,S5,,G5,N,,,NA
Elymus repens,Poaceae,,,(L.) Gould,Creeping Wildrye,Graminoid,19,33,45,SNA,,GNA,E,SE5,,NA
Elymus riparius,Poaceae,,,Wieg.,Eastern Riverbank Wildrye,Graminoid,4,3,5,S4,,G5,N,,,NA
Elymus smithii,Poaceae,,,(Rydb.) Gould,western wheatgrass,Graminoid,NA,1,3,S?,,G?,N,,y,NA
Elymus trachycaulus,Poaceae,,,(Link) Gould ex Shinners,Slender Wildrye,Graminoid,NA,4,10,S5,,G5,N,,,NA
Elymus villosus,Poaceae,,,Muhl. ex Willd.,Hairy Wildrye,Graminoid,1,1,2,S4,,G5,N,,,NA
Elymus virginicus,Poaceae,virginicus,,L.,Virginia Wildrye,Graminoid,10,6,10,S5,,G5,N,,,NA
Empetrum nigrum,Ericaceae,,,L.,Black Crowberry,Shrub,1,NA,1,S5,,G5,N,,,NA
Epifagus virginiana,Orobanchaceae,, ,(L.) W. Bart.,Beechdrops,Herbaceous,21,14,22,S5,,G5,N,,,NA
Epigaea repens,Ericaceae,,,L.,Trailing Arbutus,Shrub,2,NA,1,S5,,G5,N,,,NA
Epilobium ciliatum,Onagraceae,,,,Northern Willowherb,Herbaceous,15,30,40,S5,,G5,N,,,NA
Epilobium coloratum,Onagraceae,,,Biehler,Purple-veined Willowherb,Herbaceous,10,11,16,S5,,G5,N,,,NA
