Site name,Sitecode,AltName,Lon,Lat,Easting,Northing
Bronte-Burloak Woods,NA,,-79.728994589999999,43.379613159999998,602958.000000000116415,4803756.000000000000000
Drumquin Park,DQP,,-79.787979500000006,43.532326699999999,,
Glenorchy,GLEN,,-79.780686360000004,43.458092839999999,598643.157000000006519,4812409.276999999769032
Hilton Falls,NA,,-79.995999999999995,43.522269999999999,581138.087999999988824,4819304.223000000230968
Iroquois Shoreline Woods,IQS,,-79.684766800000006,43.487892000000002,,
Mountsberg,MTB,,-80.030754250000001,43.470010180000003,578397.000000000000000,4813467.000000000000000
Neyagawa Woods,NEYA,,-79.755554869999997,43.473955160000003,600649.999999999883585,4814201.000000000000000
Rattlesnake Point,RAT,,-79.933874930000002,43.472884659999998,586229.000000000000000,4813882.000000000000000
Robert Edmondson,RED,Robert Edmondson (Burns),-80.030786509999999,43.490423120000003,578368.000000000000000,4815734.000000000000000
Speyside,SPEY,,-79.983950800000002,43.579948000000002,,
Twiss,TWS,Kilbride,-79.965644979999993,43.440544940000002,583704.000000000000000,4810258.000000000000000
Waterdown Woods,WEW,Waterdown Escarpment Woods,-79.868050519999997,43.336906790000000,591758.000000000116415,4798850.917999999597669
Wildflower Woods,WFW,,-79.658469710000006,43.488632539999998,608476.000000000000000,4815953.000000000000000
Yaremko,YAR,,-79.981005479999993,43.470694170000002,582420.000000000000000,4813591.000000000000000
