,Plot,WEW 10,WEW 2,WEW 3,WEW 4,WEW 6,WEW 7,WEW 9,RAT 11,RAT 11,RAT 18,RAT 18,RAT 23,RAT 23,RAT 24,RAT 24,WEW 10,WEW 2,WEW 3,WEW 4,WEW 6,WEW 7,WEW 9,GLEN 10,GLEN 10,GLEN 14,GLEN 14,GLEN 15,GLEN 15,GLEN 18,GLEN 18,GLEN 20,GLEN 20,GLEN 23,GLEN 23,GLEN 8,GLEN 8,RAT 11-1,RAT 11-1,RAT 11-3,RAT 11-3,RAT 18-1,RAT 18-1,RAT 18-3,RAT 18-3,RAT 23-1,RAT 23-1,RAT 23-3,RAT 23-3,RAT 24-3,RAT 24-3,WEW 10,WEW 2,WEW 3,WEW 4,WEW 6,WEW 7,WEW 9,RAT 11,RAT 11,RAT 18,RAT 18,RAT 23,RAT 23,RAT 24,RED 1,RED 2,YAR 1,DQP 1,DQP 1,DQP 2,DQP 2,IQS 1,IQS 1,IQS 2,IQS 2,MTB 1 & 2,MTB 1 & 2,MTB 3 & 4,MTB 3 & 4,MTB 5,MTB 5,MTB 6,MTB 6,MTB 7,MTB 7,MTB 8,MTB 8,NEYA 1 ,NEYA 1 ,NEYA 2,NEYA 2,RED 1,RED 1,RED 2,RED 2,SPEY 1,SPEY 1,SPEY 2,SPEY 2,TWS 1,TWS 1,TWS 2,TWS 2,WFW 1,WFW 1,WFW 2,WFW 2,YAR 1,YAR 1,YAR 2,YAR 2,YAR 3,YAR 3,MTB 1 & 2,MTB 1 & 2,MTB 3 & 4,MTB 3 & 4,MTB 5,MTB 5,MTB 6,MTB 6,SPEY 1,SPEY 1,SPEY 2,SPEY 2,WEW 1,WEW 1,WEW 3,WEW 3,WEW 4,WEW 4,WEW 5,WEW 5,DQP 1,DQP 1,DQP 2,DQP 2,IQS 1,IQS 1,IQS 2,IQS 2,MTB 7,MTB 7,MTB 8,MTB 8,NEYA 1,NEYA 1,NEYA 2,NEYA 2,WEW 10,WEW 10,WEW 2,WEW 2 ,WEW 6,WEW 6,WEW 7,WEW 7,WEW 8,WEW 8,WEW 9,WEW 9,WFW 1,WFW 1,WFW 2,WFW 2,YAR 1,YAR 1,YAR 2,YAR 2,YAR 3,YAR 3,GLEN 1,GLEN 1,GLEN 10,GLEN 10,GLEN 12,GLEN 12,GLEN 14,GLEN 14,GLEN 15,GLEN 15,GLEN 18,GLEN 18,GLEN 20,GLEN 20,GLEN 24,GLEN 24,GLEN 4,GLEN 4,GLEN 8,GLEN 8,RED 1,RED 1,RED 2,RED 2,TWS 1,TWS 1,TWS 2,TWS 2,RAT 11,RAT 11,RAT 13,RAT 13,RAT 14,RAT 14,RAT 18,RAT 18,RAT 2,RAT 2,RAT 23,RAT 23,RAT 24,RAT 24,RAT 4,RAT 4,RAT 5,RAT 5,RAT 7,RAT 7,IQS 1,IQS 1,IQS 2,IQS 2,SPEY 1,SPEY 1,SPEY 2,SPEY 2,WEW 1,WEW 1,WEW 10,WEW 10,WEW 2,WEW 2 ,WEW 3,WEW 3,WEW 4,WEW 4,WEW 5,WEW 5,WEW 6,WEW 6,WEW 7,WEW 7,WEW 8,WEW 8,WEW 9,WEW 9,WFW 1,WFW 1,WFW 2,WFW 2,DQP 1,DQP 1,DQP 2,DQP 2,MTB 1&2,MTB 1&2,MTB 3&4,MTB 3&4,MTB 5,MTB 5,MTB 6,MTB 6,MTB 7,MTB 7,MTB 8,MTB 8,NEYA 1,NEYA 1,NEYA 2,NEYA 2,YAR 1,YAR 1,YAR 2,YAR 2,YAR 3,YAR 3,GLEN 10,GLEN 10,GLEN 12,GLEN 12,GLEN 13,GLEN 13,GLEN 14,GLEN 14,GLEN 15,GLEN 15,GLEN 17,GLEN 17,GLEN 18,GLEN 18,GLEN 19,GLEN 19,GLEN 20,GLEN 20,GLEN 24,GLEN 24,,
Athyrium sp.,Lady Fern sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine diphylla,Broad-leaved toothwort,,,,,,,,152,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.03,247,1.15,,,,,,,,,,,,,,,,,,217,9,,,,,,3,,2,11,0.02,,,,,,,2,0.01,,,,,,,,,,,,,,,2,0.005,,,,,3,0.03,,,,,,,,,,,,,,,5,0.01,23,0.04,,,1,0.005,,,1,0.005,,,,,,,,,12,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.1,6,0.02,16,0.04,3,0.005,,,,,,,57,0.125,8,0.04,3,0.01,,,,,1,0.005,7,0.02,,,,,,,,,,,,,,,,,,,,,,,,,16,0.060,,,2.000,0.020,22.000,0.080,,,1.000,0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine douglassii,Pink Spring Cress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex arctata,Compressed Sedge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex communis,Common Sedge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex deweyana,Dewey's Sedge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex gracillima,Graceful Sedge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex laxiflora,Loose-flowered Sedge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex pedunculata,Long-stalked Sedge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.05,5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,4,0.04,,,,,,,,,12,0.1,9,0.23,19,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex pensylvanica,Pennsylvania Sedge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.105,,,21,0.2,,,,,,,,,,,,,,,,,,,21,0.205,13,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.01,,,,,,,55,0.1,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex platyphylla,Broadleaf Sedge,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex sp.,Sedge sp.,,,,,,,1,,,,,3,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,0.09,,,,,,,,,,1,,,,3,,2,,,57,4,,,,3,0.05,,,,,2,0.1,4,0.05,12,0.2,,,,,,,,,6,0.01,24,0.5,5,0.04,6,0.085,10,0.1,3,0.005,1,0.05,1,0.005,11,0.045,,,,,,,2,0.005,,,,,,,1,0.005,,,15,0.005,1,0.01,,,,,,,3,0.005,,,,,,,,,,,,,,,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.02,1,0.04,,,,,,,1,0.005,,,,,2,0.03,,,,,,,,,,,2,0.03,2,0.02,,,,,,,3,0.04,1,0.005,,,,,,,1,0.005,,,,,,,3,0.150,,,17.000,0.450,14.000,0.350,70.000,0.500,,,,,1.000,0.020,,,13,0.050,,,,,1,0.01,,,,,,,,,,,,,,,,,,,,,,
Carex sp. 1,Sedge sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpinus caroliniana,Blue Beech,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.03,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.01,,,,,,,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carya cordiformis,Bitternut Hickory,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.03,2,0.03,,,,,,,1,0.005,1,0.005,1,0.005,,,,,,,,,,,,,2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carya ovata,Shagbark Hickory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carya sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caulophyllum thalictroides,Blue Cohosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0.85,18,0.43,16,0.35,,,3,0.08,,,,,2,0.03,2,0.01,43,0.855,3,0.15,,,,,,,,,,,,,,,1,0.01,42,1.15,23,0.505,14,0.35,,,,,7,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.01,8,0.03,,,,,,,,,,,,,,,,,,,13,0.69,,,,,,,,,44,0.5,3,0.06,8,0.125,,,,,,,,,,,,,,,,,,,,,4,0.03,,,,,1.000,0.010,55.000,0.750,33.000,0.440,5.000,0.110,,,1.000,0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circaea lutetiana,Enchanters Nightshade,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,,,,,,,,,,,,,,,3,6,,,,,,2,0.01,1,0.005,,,8,0.05,,,,,16,0.05,,,7,0.05,,,1,0.005,2,0.01,51,0.21,18,0.045,,,,,,,,,,,,,,,,,,,,,2,0.005,16,0.01,,,46,0.21,1,0.005,2,0.005,1,0.005,,,,,,,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,5,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.1,11,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.02,25,0.025,8,0.005,,,3,0.005,2,0.005,,,,,,,,,,,,,,,17,0.03,20,0.065,,,,,,,,,,,9.000,0.020,5.00,0.010,1.000,0.010,,,,,,,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,
Claytonia sp.,Spring Beauty sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.01,1,0.01,,,,,,,7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claytonia virginica,Spring Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,0.205,150,0.08,,,,,,,,,119,0.05,94,0.05,11,0.02,,,,,,,19,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.02,,,,,,,,,,,,,11,0.005,,,,,1,0.005,466,0.270,318,0.165,,,,,,,,,,,,,233,0.200,99,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinopodium vulgare,Wild Basil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus alternifolia,Alternate-leaved Dogwood,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2,,,,,,,,,,,,,,,,,3,,,,,1,,,,21,0.15,4,0.5,,,1,0.005,,,,,,,,,,,,,,,,,,,9,0.7,5,0.505,,,,,1,0.05,,,,,,,,,,,,,,,,,,,3,0.02,,,,,,,,,,,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.01,,,,,,,,,,,,,,,,,,,,,2,0.02,5,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.000,0.110,,,1.000,0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus sp.,Dogwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus stolonifera,Red-osier Dogwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crataegus sp.,Hawthorn sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cystoptersis fragilis,Fragile Fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine lanciniata,Cut-leaved toothwort,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentra sp.,Dutchman's Breeches/Squirrel Corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris carthusiana,Spinulose Wood Fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris intermedia,Intermediate Wood Fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.06,8,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.03,,,,,,,,,,,,,,,,,,,,,,,6,0.42,5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,0.020,,,,,,,7,0.415,3,0.45,1,0.005,,,,,,,,,,,,,,,,,,,,,,
Dryopteris marginalis,Marginal Wood Fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinocystis lobata,Wild Cucumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elymus hystrix,Bottlebrush Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.015,1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.02,,,,,,,,,,,,,,,,,,,,,,
Epipactis helleborine,Helleborine Orchid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.005,1,0.005,,,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
