"Name","month","start_h2","activity","nPolys"
"Moffat-Badenoch Swamp",6,10,0.077933,1
"Moffat-Badenoch Swamp",6,12,0.111704,1
"Moffat-Badenoch Swamp",6,14,0.395583,3
"Moffat-Badenoch Swamp",6,16,0.287941,2
"Moffat-Badenoch Swamp",6,18,0.116816,2
"Moffat-Badenoch Swamp",6,20,0.068553,1
"Moffat-Badenoch Swamp",6,22,0.074626,1
"Moffat-Badenoch Swamp",7,0,0.034974,1
"Moffat-Badenoch Swamp",7,4,0.00875,1
"Moffat-Badenoch Swamp",7,6,0.094199,2
"Moffat-Badenoch Swamp",7,8,0.155504,2
"Moffat-Badenoch Swamp",7,10,0.157613,1
"Moffat-Badenoch Swamp",7,12,0.075515,1
"Moffat-Badenoch Swamp",7,14,0.083464,1
"Moffat-Badenoch Swamp",7,16,0.453661,3
"Moffat-Badenoch Swamp",7,18,0.102141,2
"Moffat-Badenoch Swamp",7,22,0.025329,1
"Moffat-Badenoch Swamp",8,2,0,1
"Moffat-Badenoch Swamp",8,6,0.086923,2
"Moffat-Badenoch Swamp",8,8,0.100004,1
"Moffat-Badenoch Swamp",8,10,0.219949,2
"Moffat-Badenoch Swamp",8,12,0.298554,2
"Moffat-Badenoch Swamp",8,14,0.286356,2
"Moffat-Badenoch Swamp",8,16,0.223118,2
"Moffat-Badenoch Swamp",8,18,0.199201,2
"Moffat-Badenoch Swamp",8,20,0.049361,2
"Moffat-Badenoch Swamp",8,22,0.039533,1
"Mountsberg",6,0,0.679568,33
"Mountsberg",6,2,0.748339,21
"Mountsberg",6,4,0.77138,32
"Mountsberg",6,6,2.165824,42
"Mountsberg",6,8,3.051833,51
"Mountsberg",6,10,3.728096,69
"Mountsberg",6,12,5.415283,81
"Mountsberg",6,14,5.644394,78
"Mountsberg",6,16,4.665889,73
"Mountsberg",6,18,4.164679,72
"Mountsberg",6,20,2.489912,52
"Mountsberg",6,22,1.463258,42
"Mountsberg",7,0,0.293872,19
"Mountsberg",7,2,0.273747,13
"Mountsberg",7,4,0.416825,18
"Mountsberg",7,6,2.371072,51
"Mountsberg",7,8,3.867537,92
"Mountsberg",7,10,4.827462,76
"Mountsberg",7,12,4.72455,73
"Mountsberg",7,14,3.833635,55
"Mountsberg",7,16,4.93684,81
"Mountsberg",7,18,3.438571,69
"Mountsberg",7,20,2.012688,49
"Mountsberg",7,22,1.27258,36
"Mountsberg",8,0,0.538328,28
"Mountsberg",8,2,0.218131,12
"Mountsberg",8,4,0.395878,17
"Mountsberg",8,6,1.943796,52
"Mountsberg",8,8,3.041176,66
"Mountsberg",8,10,4.579889,82
"Mountsberg",8,12,6.297261,86
"Mountsberg",8,14,5.723756,80
"Mountsberg",8,16,5.456625,76
"Mountsberg",8,18,4.490152,69
"Mountsberg",8,20,2.595502,46
"Mountsberg",8,22,1.215795,36
"Ontario Heritage Trust",6,0,0.067014,2
"Ontario Heritage Trust",6,2,0.044473,1
"Ontario Heritage Trust",6,4,0,1
"Ontario Heritage Trust",6,6,0.037151,1
"Ontario Heritage Trust",6,8,0.12907,5
"Ontario Heritage Trust",6,10,0.218318,6
"Ontario Heritage Trust",6,12,0.399991,12
"Ontario Heritage Trust",6,14,0.354487,11
"Ontario Heritage Trust",6,16,0.165507,9
"Ontario Heritage Trust",6,18,0.238796,7
"Ontario Heritage Trust",6,20,0.178418,5
"Ontario Heritage Trust",6,22,0.01639,4
"Ontario Heritage Trust",7,0,0.0853,1
"Ontario Heritage Trust",7,4,0.001148,1
"Ontario Heritage Trust",7,6,0,3
"Ontario Heritage Trust",7,8,0.289117,12
"Ontario Heritage Trust",7,10,0.63524,15
"Ontario Heritage Trust",7,12,0.621468,15
"Ontario Heritage Trust",7,14,0.25204,8
"Ontario Heritage Trust",7,16,0.180086,7
"Ontario Heritage Trust",7,18,0.153492,6
"Ontario Heritage Trust",7,22,0.058395,2
"Ontario Heritage Trust",8,0,0,1
"Ontario Heritage Trust",8,2,0.030987,1
"Ontario Heritage Trust",8,4,0.042227,1
"Ontario Heritage Trust",8,6,0.039039,1
"Ontario Heritage Trust",8,8,0.198841,6
"Ontario Heritage Trust",8,10,0.234619,7
"Ontario Heritage Trust",8,12,0.113554,5
"Ontario Heritage Trust",8,14,0.365848,9
"Ontario Heritage Trust",8,16,0.097605,5
"Ontario Heritage Trust",8,18,0.240594,8
"Ontario Heritage Trust",8,20,0,1
"Ontario Heritage Trust",8,22,0,1
"Rattlesnake Point",6,0,0.006963,1
"Rattlesnake Point",6,4,0.039134,1
"Rattlesnake Point",6,6,0.025201,2
"Rattlesnake Point",6,8,0.743299,18
"Rattlesnake Point",6,10,1.660324,54
"Rattlesnake Point",6,12,1.675698,45
"Rattlesnake Point",6,14,2.392245,61
"Rattlesnake Point",6,16,2.404682,59
"Rattlesnake Point",6,18,1.298647,37
"Rattlesnake Point",6,20,0.246466,10
"Rattlesnake Point",7,6,0.059575,4
"Rattlesnake Point",7,8,0.773236,24
"Rattlesnake Point",7,10,2.703909,58
"Rattlesnake Point",7,12,2.516972,48
"Rattlesnake Point",7,14,2.147055,48
"Rattlesnake Point",7,16,1.570335,45
"Rattlesnake Point",7,18,2.264678,38
"Rattlesnake Point",7,20,0.624124,17
"Rattlesnake Point",7,22,0.056811,2
"Rattlesnake Point",8,0,0.051709,1
"Rattlesnake Point",8,4,0.012221,1
"Rattlesnake Point",8,6,0.020537,1
"Rattlesnake Point",8,8,0.46453,19
"Rattlesnake Point",8,10,1.68385,53
"Rattlesnake Point",8,12,1.09077,39
"Rattlesnake Point",8,14,1.038297,37
"Rattlesnake Point",8,16,1.167048,42
"Rattlesnake Point",8,18,0.655533,32
"Rattlesnake Point",8,20,0.078268,8
"Rattlesnake Point",8,22,0.010984,1
"Robert Edmondson",6,6,0.000966,1
"Robert Edmondson",6,8,0.091295,5
"Robert Edmondson",6,10,0.161779,6
"Robert Edmondson",6,12,0.333662,9
"Robert Edmondson",6,14,0.089788,3
"Robert Edmondson",6,16,0.092931,3
"Robert Edmondson",6,18,0.03251,1
"Robert Edmondson",6,20,0.033247,1
"Robert Edmondson",6,22,0,1
"Robert Edmondson",7,4,0.012494,1
"Robert Edmondson",7,6,0.105129,4
"Robert Edmondson",7,8,0.033814,2
"Robert Edmondson",7,10,0.301754,8
"Robert Edmondson",7,12,0.025803,2
"Robert Edmondson",7,14,0.033263,1
"Robert Edmondson",7,16,0.012166,1
"Robert Edmondson",7,18,0.007784,1
"Robert Edmondson",7,20,0.057279,2
"Robert Edmondson",8,4,0.017946,1
"Robert Edmondson",8,6,0.074316,2
"Robert Edmondson",8,8,0.018598,2
"Robert Edmondson",8,10,0.034944,2
"Robert Edmondson",8,12,0.262462,12
"Robert Edmondson",8,14,0.085725,6
"Robert Edmondson",8,16,0.047991,4
"Robert Edmondson",8,18,0.028722,5
"Robert Edmondson",8,20,0.04251,2
"Robert Edmondson",8,22,0.01847,1
"Shanahan",6,8,0.071437,1
"Shanahan",7,6,0.0183,1
"Shanahan",7,10,0.094457,1
"Shanahan",7,20,0.038826,1
"Shanahan",8,6,0.039589,1
"Shanahan",8,8,0.018598,1
"Speyside",6,4,0,1
"Speyside",6,6,0.014433,1
"Speyside",6,8,0.065287,3
"Speyside",6,10,0.095135,2
"Speyside",6,12,0.078286,5
"Speyside",6,14,0.23923,7
"Speyside",6,16,0.100712,7
"Speyside",6,18,0.095073,1
"Speyside",6,20,0.07851,2
"Speyside",6,22,0.018144,1
"Speyside",7,6,0.055603,2
"Speyside",7,8,0.065685,3
"Speyside",7,10,0.307766,6
"Speyside",7,12,0.08734,5
"Speyside",7,14,0.06892,2
"Speyside",7,16,0.08761,2
"Speyside",7,18,0,1
"Speyside",7,20,0,1
"Speyside",8,8,0.101586,3
"Speyside",8,10,0.061802,2
"Speyside",8,12,0.010699,1
