SiteCode,SiteName,Lat,Lon
DQP,Drumquin Park,43.53259,-79.87673
GLEN,Glenorchy,43.48504,-79.77352
IQS,Iroquois Shoreline Woods,43.48786,-79.67822
MTB,Mountsberg,43.46292,-80.0248
NEYA,Neyagawa Woods,43.47579,-79.75397
RAT,Rattlesnake Point,43.47698,-79.89686
RED,Robert Edmondson (Burns),43.48708,-80.03029
SPEY,Speyside,43.58057,-79.97502
TWS,Twiss,,
WEW,Waterdown Escarpment Woods,,
WFW,Wildflower Woods,,
YAR,Yaremko,,
