"Area_Type","Managed","nSites","PercentHumanActivity","AvgSize"
"Conservation Area","Managed Land",7,59.7925710376538,3.67677388513909
"Conservation Area","Non-Managed Land",8,48.3525745466957,0.882765194071574
"Natural Area","Non-Managed Land",16,44.4806521761153,0.498896541017305
"Other","Non-Managed Land",9,34.3443063682098,0.0993592765323454
"Reserve Area","Non-Managed Land",13,26.3057041274126,0.240861892374748
